"index","REMARKS","UAS_Location_Runways","dateonly","timeonly","DATE","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","FACILITY.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","METAR.CEDAR","POTENTIALLYSIGNIFICANT.CEDAR","IFRIVR.CEDAR","AUTHCERT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASREGISTRATIONNUM.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","UASFORMATION.CEDAR","CLOSESTPROXIMITY.CEDAR","UASWEIGHTGT55.CEDAR","UASDIM.CEDAR","UASFWROTOR.CEDAR","PILOTREPORTEDNMAC.CEDAR","TCASRA.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
1636,"Aircraft reported a gray quad copter UAS while E bound at 1,700 feet, 7 NM ESE VNY. No evasive action taken. Van Nuys Police 100 notified at 818-238-3310.","UNKN","3/4/2018","7:34","2018-03-04T07:34Z","DEN","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","7 NM ESE VNY",NA
15,"Aircraft observed a UAS while SSW bound at 1,400 feet, 1 NM NE of Scottsdale. No evasive action taken. Scottsdale PD notified. ","UNKN","3/4/2018","9:48","2018-03-04T09:48Z","DEN","UAS",NA,"SDL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM NE of SDL",NA
1642,"Aircraft reported a brown and black UAS 100 FT above whileNW bound at 3,000 FT 5NMS of FTW. No evasive action taken.DFWDPS notified at 972-973-3210.","UNKN","3/5/2018","21:05","2018-03-05T21:05Z","DEN","UAS",NA,"D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5NMS of D10",NA
1647,"Aircraft reported a white and blue UAS off the left side while SSE bound at 2,200 feet, 11NM WNW of Tyler, TX. No evasive action was taken. LEO was not notified. ","UNKN","3/7/2018","1:22","2018-03-07T01:22Z","DEN","UAS",NA,"TYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","11NM WNW of TYR",NA
1649,"Aircraft reported a UAS 200 feet below them while E bound at 1,500 feet, 6 NM W HNL. No evasive action taken. Honolulu PD notified via 911.","UNKN","3/9/2018","1:02","2018-03-09T01:02Z","DEN","UAS",NA,"HCF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","6 NM W HNL",NA
1651,"Aircraft reported a diamond shaped UAS whileN bounddescending from 8,000 FToff right wing at 7,300 feet to 7,500 feet 8NME of MLU. No evasive action taken. MonroePD notified at 704-226-2320. ","UNKN","3/10/2018","2:17","2018-03-10T02:17Z","DEN","UAS",NA,"CLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8NME of CLT",NA
1655,"Aircraft reported a medium sized red and blue UAS above their aircraft at an altitude of 2,500 feet, 4 NM S CLT. No evasive action reported. CLT Airport 911 notified.","UNKN","3/13/2018","23:39","2018-03-13T23:39Z","DEN","UAS",NA,"CLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4 NM S CLT",NA
1657,"Aircraft reported a blue and orange quad-copter UAS at 1,500 feet 8 NM N Renton, WA. No evasive action taken. LEO notification not reported.","UNKN","3/16/2018","4:00","2018-03-16T04:00Z","DEN","UAS",NA,"RNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM N  RNT",NA
1659,"Aircraft reported a red rotary UAS at the 6 o'clock position while W bound at 1,200 feet, 6 NM W ORL. No evasive action taken. LEOS notified.","UNKN","3/16/2018","23:23","2018-03-16T23:23Z","DEN","UAS",NA,"ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","6 NM W ORL",NA
1660,"Aircraft reported a black UAS off their left side while NW bound at 3,000 feet, 13 NM NW JFK. No evasive action reported. Port Authority PD notified at 718-244-4333.","UNKN","3/17/2018","0:02","2018-03-17T00:02Z","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","13 NM NW JFK",NA
17,"Aircraft observed a quad copter UAS 500 below their aircraft at 7,000 feet 2 NM SW BJC while turning downwind to base. No evasive action taken. Jefferson County Sheriff notified at 303-277-0211.","UNKN","3/18/2018","5:39","2018-03-18T05:39Z","DEN","UAS",NA,"BJC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2 NM SW BJC",NA
1668,"Aircraft reported a UAS pass below their aircraft from right to left while SW bound at 2,700 feet 3 NM N LGA. No evasive action reported. New York PD AviationUnit notified at 718-937-6963.","UNKN","3/19/2018","23:04","2018-03-19T23:04Z","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","3 NM N LGA",NA
1671,"Aircraft reported a red UAS 1,000 feet below their aircraft 3 NM E Santa Monica, CA. No evasive action taken. LAPD Air Unit notified at 213-485-2600.","UNKN","3/20/2018","3:08","2018-03-20T03:08Z","DEN","UAS",NA,"SCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM E  SCT",NA
1673,"Aircraft reported a UAS off their left side while ESE bound at 2,100 feet 5 NM N SNA. No evasive action taken. Orange County Sheriff notified at 949-252-5200.","UNKN","3/20/2018","23:53","2018-03-20T23:53Z","DEN","UAS",NA,"SNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","5 NM N SNA",NA
1683,"Aircraft reported a white quad rotor UAS 1,500 feet below aircraft at the 6 o'clock position while NE bound at 4,200 feet, 14 NM N of Trona, CA. No evasive action taken. Riverside County Sheriff notified at 800-950-2444.","UNKN","4/2/2018","0:37","2018-04-02T00:37Z","DEN","UAS",NA,"SCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","14 NM N of SCT",NA
1691,"Aircraft reported a white quad copter UAS below their aircraft 24 NM ESE of Oakland. No evasive action taken. Alameda county Sheriff notified at 510-667-7721. ","UNKN","4/15/2018","20:27","2018-04-15T20:27Z","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","24 NM ESE of NCT",NA
1692,"Aircraft reported a 1.5 IN diameter black with red accents UAS 100 feet below their aircraft while at 2,000 feet 7 NM W PBI. No evasive action taken. Palm Beach County Sheriff notified at 561-471-7426.","UNKN","4/15/2018","22:36","2018-04-15T22:36Z","DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","7 NM W PBI",NA
28,"Aircraft observed a silver 4 rotor wing UAS at 4,900 feet while heading SSE bound 10 NM NNW VNY. No evasive action taken. LEOs were not notified.","UNKN","4/20/2018","10:18","2018-04-20T10:18Z","DEN","UAS",NA,"VNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM NNW VNY",NA
31,"Aircraft observed a medium sized quadcopter UASwhile SWbound at2,800 feet 3NM N LIT.No evasive action reported. Pulaski County Sheriff notified at 501-340-6963.","UNKN","4/25/2018","22:44","2018-04-25T22:44Z","DEN","UAS",NA,"LIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","3NM N LIT",NA
1708,"Aircraft reported a black and white UAS 400 feet below,while SSE bound at 5,400 feet, 2.5NM N SLC. No evasive action reported. Salt Lake City ARPT PDnotified at 801-575-2401.","UNKN","5/2/2018","0:06","2018-05-02T00:06Z","DEN","UAS",NA,"S56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2.5NM N SLC",NA
35,"Aircraft observed a red UAS hovering at 1,000 feet 5NM S of Aurora, CO. No evasive action taken. LEO not notified.","UNKN","5/5/2018","4:55","2018-05-05T04:55Z","DEN","UAS",NA,"D01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5NM S of D01",NA
36,"Aircraft observed a large UAS 2-5 NM away at his 3 o'clock position while N bound at 6,200 feet 21NM SW ANX VOR. No evasive action was taken. LEO notification was not reported. ","UNKN","5/6/2018","3:14","2018-05-06T03:14Z","DEN","UAS",NA,"MCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAVAID","21NM SW ANX",NA
1715,"Aircraft reported a UAS at 1,800 feet, 4NM SW of Madison, MS. No evasive action taken. LEO notification not reported. ","UNKN","5/6/2018","23:59","2018-05-06T23:59Z","DEN","UAS",NA,"JAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4NM SW of JAN",NA
1716,"Aircraft reported a small to medium, black and silver quad copter UAS below their aircraft while WNW bound at 6,000 feet, 22NM SSE CLT. No evasive action taken. Waxhaw PD notified at 704-843-0353.","UNKN","5/7/2018","0:11","2018-05-07T00:11Z","DEN","UAS",NA,"CLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","22NM SSE CLT",NA
1719,"Aircraft reported a 1 foot black UAS while E bound at FL190, 10NM NW New Haven, CT. No evasive action taken. New Haven PD notified at 203-946-6316.","UNKN","5/7/2018","1:29","2018-05-07T01:29Z","DEN","UAS",NA,"ZBW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10NM NW  ZBW",NA
1721,"Aircraft reported a 3 foot wide black UAS while N bound at 4,500 feet, 25NM SE of Nashville, TN. No evasive action taken. Nashville Airport PD notified at 615-275-1703.","UNKN","5/7/2018","2:09","2018-05-07T02:09Z","DEN","UAS",NA,"BNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","25NM SE of BNA",NA
1724,"Aircraft reported a dark 2 foot long UAS at their 9 o'clock position, 200 feet below their aircraft while NNE bound at 7,000 feet, 20NM NNW of Palacious, TX. No evasive action taken. Wharton County Sheriff notified at 979-532-1550.","UNKN","5/7/2018","5:45","2018-05-07T05:45Z","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","20NM NNW of I90",NA
1725,"Aircraft reported a red and white UAS off their left side and at the same altitude of 10,000 feet while N bound, 35NM SW of Sea Isle City, NJ. No evasive action taken. Rehoboth PD notified at 302-227-2577.","UNKN","5/8/2018","3:01","2018-05-08T03:01Z","DEN","UAS",NA,"ZDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","35NM SW of ZDC",NA
1726,"Aircraft reported a black medium size UAS circled and followed the aircraft while N bound at 4,500 feet, 25NM ENE of Sacramento, CA. No evasive action taken. Sacramento Sheriff notified.","UNKN","5/8/2018","3:13","2018-05-08T03:13Z","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","25NM ENE of NCT",NA
1731,"Aircraft reported a UAS while ESE bound at 500 feet 1 NM NW of San Jose, CA. No evasive action was taken. CAHP, California Highway Patrol.","UNKN","5/12/2018","12:12","2018-05-12T12:12Z","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM NW of NCT",NA
1733,"Aircraft reported a very large UAS off left side whileE bound at 13,500 feet, 20 NM S DAS. No evasive action taken. FBInotified at 713-693-5000.","UNKN","5/16/2018","0:36","2018-05-16T00:36Z","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","20 NM S DAS",NA
1734,"Aircraft reported a silver UAS with 4 rotors off the right side,10 NM NE DEN. Evasive action not reported. DEN ARPT PDnotified at 303-342-4211.","UNKN","5/16/2018","1:02","2018-05-16T01:02Z","DEN","UAS",NA,"DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM NE DEN",NA
1735,"Aircraft reported a shiny, silver quadcopter UAS, 200 feet above, while westbound at 6,000 feet,8 NM SW IAH. No evasive action reported. Houston PDnotified at 713-884-3131.","UNKN","5/16/2018","2:00","2018-05-16T02:00Z","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","8 NM SW IAH",NA
41,"Aircraft observed a white quad copter type UAS while Aircraft westbound at 5,500 feet, 4.5 NM W SLC. No evasive action reported. SLC ARPT PD notified at 801-575-2401.","UNKN","5/20/2018","0:30","2018-05-20T00:30Z","DEN","UAS",NA,"S56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","4.5 NM W SLC",NA
