,IDENT,NAME,LATITUDE,LONGITUDE,ICAO_ID,DECLINATION
30,MI51,Zeeland Community Hosp,42.82045555555556,-85.989075,,-5.42782
31,3MI3,Zayti  Fld,42.44022222222222,-83.51586111111111,,-7.20454
32,LA68,Zaunbrecher Strip,30.315759166666666,-92.51985833333332,,0.35616
33,2MY2,Zarn,43.90741666666666,-94.27466666666666,,0.93705
34,APY,Zapata County,26.96878611111111,-99.24890833333332,KAPY,4.22646
35,50KY,Zanzibar Farm,38.129798888888885,-84.33021138888887,,-5.94595
36,2VA,Zangger Vintage Airpark,43.44995,-96.40316944444444,,2.57287
37,ZZV,Zanesville Muni,39.94444611111111,-81.89209416666667,KZZV,-7.90897
38,TOA,Zamperini Fld,33.80338286111111,-118.33960763888888,KTOA,11.67038
39,97CA,Zamora,38.79925,-121.83069444444445,,13.37026
40,6XA4,Zadow Air,29.99181666666667,-95.95451666666666,,2.45009
41,0ID7,Z X Ranch,43.23030833333333,-116.76319166666669,,13.16175
42,1FL3,Z Ranch,30.03439722222223,-82.78206944444446,,-5.93229
43,64ND,Z P Fld,46.8508275,-101.075415,,5.97124
44,CRT,Z M Jack Stell Fld,33.17833333333333,-91.88019444444444,KCRT,-0.20940
45,05AZ,Yuma Rgnl Medical Center,32.68362222222222,-114.63505833333332,,10.59245
46,2V6,Yuma Muni,40.10571047222222,-102.71443769444444,,6.66647
47,NYL,Yuma MCAS/Yuma Intl,32.656573888888886,-114.6059872222222,KNYL,10.58010
48,8CD0,Yuma District Hospital,40.12117777777778,-102.73761388888887,,6.68084
49,2CD6,Yukon,39.39485,-104.54703333333332,,7.61879
50,23AK,Yuknis,61.594080555555564,-149.31073055555558,,15.58701
51,8CA6,Yucca Valley Service Center,34.124897222222216,-116.41360277777778,,11.30107
52,L22,Yucca Valley,34.12983333333333,-116.40688888888891,,11.30038
53,NV11,Yucca Airstrip,36.945786111111104,-116.03781166666668,,11.73755
54,MYV,Yuba County,39.09777777777778,-121.56983333333334,KMYV,13.38961
55,34U,Yuba,44.83889111111112,-85.43118138888889,,-6.20826
56,WY42,Yu Ranch,44.30745555555556,-108.73679444444444,,10.29380
57,ND82,Y-Rock,48.311302777777776,-103.148025,,7.47561
58,7KS3,Youvan,37.52921361111111,-94.6960725,,1.51200
59,CO09,Youtsey,38.266668333333335,-104.28385472222222,,7.38122
60,YNG,Youngstown-Warren Rgnl,41.26158333333333,-80.68036111111111,KYNG,-8.95469
61,4G4,Youngstown Elser Metro,40.96179527777778,-80.6773263888889,,-8.90087
62,87CO,Young's Strip,39.69111111111111,-104.41555555555556,,7.57569
63,0MI6,Young's,46.387511388888896,-85.18398138888891,,-6.71295
64,3OH6,Youngpeter,40.78333333333333,-84.36777777777776,,-6.30947
65,IL55,Younglove/Otterbach,41.53555555555555,-88.99861111111113,,-2.94359
66,NV17,Youngberg Ranch,39.6732425,-119.81296916666666,,13.17520
67,WS20,Young Tactical Landing Site,43.95376666666667,-90.66410555555555,,-1.91713
68,9GA3,Young Fld,31.839609166666666,-84.48158277777777,,-5.05139
69,0AK5,Young Creek,61.35651388888889,-142.73344444444444,,17.62285
70,ID31,Young,43.71655277777778,-116.38901583333336,,13.15124
71,6LL2,Young,41.164480277777784,-90.55735611111109,,-1.71288
72,0CL0,Yosemite Hidden Lake Ranch,37.1180025,-119.91321361111113,,12.66146
73,VG04,Yorktown Power Station,37.2140325,-76.45355944444445,,-10.77890
74,7NY9,Yorktown Helipad,41.21194444444445,-73.80333333333333,,-12.87642
75,NC13,Yorks Fld,35.75377222222223,-79.66782500000002,,-8.67582
76,JYR,York Muni,40.89641638888889,-97.62407244444445,KJYR,3.47544
77,ME94,York Hospital,43.14158333333333,-70.65066944444446,,-14.63135
78,72PA,York Electro-Panel Psnl Use,40.03343,-76.66635527777778,,-11.16739
79,8OH4,York Aerodrome,40.84394888888889,-80.70257527777778,,-8.86253
80,THV,York,39.917,-76.87302777777776,KTHV,-11.02987
81,01SC,York,35.03207944444444,-81.25277777777778,,-7.57429
82,NC65,Yonder,34.559612777777765,-78.26805388888889,,-9.33369
83,33AZ,Yolo Ranch,34.79863,-112.97018722222221,,10.48214
84,DWA,Yolo County,38.579388888888886,-121.85694444444445,KDWA,13.32720
85,5IN0,Yoder Fld,41.68583333333333,-85.3738888888889,,-5.71220
86,0FD4,Yoder Fld,30.60748611111111,-85.02529166666666,,-4.55063
87,CD09,Yoder Airstrip,39.81970611111112,-104.40912583333332,,7.58364
88,SN61,Yoder Airpark,37.65724722222222,-97.62987222222222,,3.46377
89,T85,Yoakum Muni,29.31316666666667,-97.13841666666669,,3.12948
90,F98,Yoakum County,33.217194444444445,-102.83008333333332,,6.24942
91,TE64,Yoakum Community Hospital,29.30628333333333,-97.12920833333332,,3.12440
92,3PS8,Yingst,40.39581666666667,-76.74583333333334,,-11.19324
93,78K,Yes Bay Lodge,55.91630138888889,-131.80113361111108,,18.25874
94,O43,Yerington Muni,39.00541666666667,-119.15652777777778,,12.89604
95,0AK2,Yentna Bend Strip,61.72473333333333,-150.68342777777778,,15.09947
96,COD,Yellowstone Rgnl,44.520194444444435,-109.02380555555555,KCOD,10.46116
97,WYS,Yellowstone,44.688388888888895,-111.11763888888888,KWYS,11.43270
98,8M3,Yellowstone,44.83000000000001,-111.2875,,11.52816
99,65FD,Yellow Whirley Bird,30.198888888888888,-85.82833333333333,,-3.97863
100,FD93,Yellow River Airstrip,30.685468611111112,-86.74717833333334,,-3.42579
101,CRW,Yeager,38.37593361111111,-81.59300083333333,KCRW,-7.85347
102,71PA,Ybp,39.966764444444436,-76.79969166666666,,-11.08039
103,87I,Yazoo County,32.8835,-90.464,,-1.13699
104,IA05,Yaw-Hoo Fld,40.854197222222226,-95.08592777777777,,1.68609
105,16AZ,Yav'pe Ma'ta,34.50891333333333,-112.67989861111113,,10.34511
106,51AZ,Yavapai Rgnl Medical Center East,34.59185277777778,-112.33072222222222,,10.24940
107,IL29,Yates Rla,39.53300555555556,-90.21558055555555,,-1.82131
108,37TX,Yates Fld,31.321554166666665,-98.86560138888888,,4.09823
109,XS89,Yates,29.621059444444448,-98.45585027777778,,3.84916
110,01AZ,Yat,34.60805555555556,-111.8647222222222,,10.10251
111,MU88,Yarbro Fld,36.858,-90.39975833333334,,-1.46809
112,CO44,Yankee Port,39.574988333333344,-104.87553361111112,,7.80724
113,CO53,Yankee Fld,40.63470444444445,-104.99108555555556,,7.96796
114,17LS,Yankee Fld,30.60793055555556,-91.97527777777779,,-0.00439
115,A77,Yankee Creek 2,63.00186805555556,-156.36736027777778,,12.88120
116,73AK,Yankee Cove,58.59166666666667,-134.9,,18.64164
117,CT13,Yankee Airstrip,41.88343138888889,-71.81618166666667,,-13.89372
118,6W4,Yanceyville Muni,36.39977777777778,-79.39269444444443,,-8.94399
119,NR07,Yancey Ems Medical,35.91702777777777,-82.33266666666667,,-6.99729
120,1TX0,Yancey Creek Ranch,31.026952777777772,-98.35305277777779,,3.81097
121,HDN,Yampa Valley,40.48119444444445,-107.21766666666667,KHDN,9.07290
122,4C3,Yalesville,41.49188888888889,-72.81116666666667,,-13.38772
123,1CT2,Yale New Haven Hospital,41.30445,-72.93673055555556,,-13.29252
124,D20,Yale,43.111051388888896,-82.78671805555554,,-7.85526
125,YAK,Yakutat,59.50332333333333,-139.66026805555555,PAYA,18.05949
126,2Y3,Yakutat,59.577694444444454,-139.74994444444442,,18.05395
127,45WA,Yakima Valley Meml Hospital,46.59406388888889,-120.54663888888888,,14.84852
128,YKM,Yakima Air Trml/McAllister Fld,46.56816666666667,-120.54405555555556,KYKM,14.84201
129,0AA1,Yakataga,60.080848611111115,-142.49549444444446,,17.50041
130,69MN,Yaggie Pvt,46.27773722222222,-96.42951333333332,,2.49611
131,D22,Yacht Haven,46.02479444444445,-83.75251388888887,,-7.74593
132,8XA7,Yacht Club,31.693652777777782,-98.105875,,3.68138
133,XS22,Y O Ranch,30.204087777777772,-99.67367111111112,,4.50353
134,TT31,Y Bar Ranch,28.539280555555557,-98.80069722222223,,4.01818
135,09TA,Xwind Farm,33.72441666666667,-96.29830555555556,,2.61796
136,77XA,Xl Ranch,29.826002777777774,-94.51102222222221,,1.60116
137,99WY,Xingu Airstrip,44.8458,-107.27674444444445,,9.62941
138,52AZ,X-1 Ranch Upper Headquarters,35.383331944444436,-113.30076138888887,,10.68095
139,8NE5,X1 Ranch,41.79056361111111,-98.72980472222223,,4.23603
140,AZ97,X Bar 1 Ranch (Lower),35.348329166666666,-113.68883027777778,,10.79146
141,22VA,Wythe County Community Hospital,36.95489444444445,-81.0978472222222,,-7.95691
142,CT15,Wysocki Fld,41.94537472222222,-72.47758499999999,,-13.63065
143,25KS,Wyrill Farming,39.683343888888885,-99.12842194444444,,4.46017
144,PN45,Wyoming Valley Medical Center,41.25778611111111,-75.80820555555555,,-11.87825
145,WY57,Wyoming Medical Center,42.8476,-106.30838611111109,,8.88955
146,WY43,Wyoming Game and Fish,43.484722222222224,-110.76166666666668,,11.08822
147,6G4,Wynkoop,40.36506222222222,-82.49571805555556,,-7.56655
148,13NJ,Wyeth-Ayerst Research,40.36510694444445,-74.5829336111111,,-12.32708
149,NY47,Wyeth Ayerst,41.0775,-74.02472222222222,,-12.74329
150,5IN4,Wyckoff Airstrip,41.48337361111111,-86.95002722222223,,-4.49903
151,CT48,Wychwood Fld,41.43676527777777,-71.92535055555554,,-13.75288
152,8TS7,Wyatt 3-Rivers,32.244865277777784,-97.72613861111112,,3.47008
153,GA23,Wyatt,34.57833333333333,-85.38388888888889,,-4.76622
154,6IN3,Wyandotte,40.34916666666667,-86.7638888888889,,-4.48627
155,76OH,Wyandot Meml Hospital,40.84153888888889,-83.28026944444444,,-7.09729
156,56D,Wyandot County,40.883368583333336,-83.31453155555555,,-7.07997
157,PA26,Wxkw,40.636208055555564,-75.4846275,,-11.92248
158,TS22,Wwd Farms,33.13698888888889,-101.46626666666668,,5.55379
159,N82,Wurtsboro-Sullivan County,41.597138888888885,-74.45830555555554,,-12.64205
160,14NJ,Wuerkers New Acres Farm,39.00900166666667,-74.88850416666669,,-11.91511
161,MI91,Wsr,42.05833333333333,-85.16180555555556,,-5.92899
162,TN60,Wsmv-Tv,36.14116944444445,-87.86197166666666,,-3.20952
163,7GA1,Wsb-Tv,33.79927166666666,-84.38555555555557,,-5.35000
164,NJ27,Wrnj,40.84648777777778,-74.80405444444446,,-12.31367
165,36OH,Wright's Fld,40.190348055555546,-81.97402388888891,,-7.89490
166,FFO,Wright-Patterson AFB,39.82597052777777,-84.04610283333334,KFFO,-6.39248
167,TX93,Wright Ranch,32.16681083333333,-97.83364111111109,,3.53136
168,MD11,Wright Fld,39.27705388888889,-76.06272416666667,,-11.35424
169,LHW,Wright AAF (Fort Stewart)/Midcoast Rgnl,31.887819444444442,-81.56265499999998,KLHW,-6.94618
170,65J,Wrens Meml,33.22277777777778,-82.3845,,-6.59734
171,2V5,Wray Muni,40.10039694444445,-102.2411725,,6.39164
172,MU13,Wray Airfield,40.46913194444445,-94.7164652777778,,1.43259
173,68A,Wrangell,56.46632500000001,-132.38001805555555,,18.36545
174,WRG,Wrangell,56.48433333333333,-132.36983333333333,PAWG,18.37015
175,83PN,Wpxi-Tv Television Hill,40.463318888888885,-80.00463666666667,,-9.24656
176,PA63,Wpxi-Tv Evergreen Road,40.49536111111111,-80.01066666666667,,-9.24858
177,FL51,Wptv,26.714080555555554,-80.06391944444444,,-7.18023
178,91FD,Wpec Inc,26.761363888888887,-80.06969722222222,,-7.18308
179,22MT,Wounded Buck Ranch,48.12809166666667,-114.16980833333334,,13.28850
180,4MD9,Worthington Valley,39.48055555555555,-76.76055555555557,,-11.01059
181,OTG,Worthington Muni,43.65505555555556,-95.57919444444444,KOTG,1.94906
182,9MO4,Worth,39.979160555555566,-94.87385805555556,,1.56261
183,6TS1,Worrell,31.1779475,-98.07308333333332,,3.65694
184,0VA4,Worley Fld,36.950139722222225,-79.87947805555554,,-8.72988
185,3CL3,World Trade Center,33.76784166666667,-118.19977222222221,,11.63417
186,2OR9,World Trade Center,45.5170625,-122.67370694444445,,15.01553
187,WRL,Worland Muni,43.96288888888889,-107.95052777777778,KWRL,9.86268
188,83KY,Works,38.98111111111111,-84.54472222222222,,-5.91393
189,OA10,Workman's Landing,39.008611111111115,-83.90916666666669,,-6.36711
190,OR41,Workman Airpark,45.207621111111116,-122.6692577777778,,14.94305
191,IA68,Workman Airfield,41.609905555555564,-90.85891111111113,,-1.52406
192,ORH,Worcester Rgnl,42.26713888888889,-71.8756111111111,KORH,-13.95423
193,42MA,Worcester Medical Center,42.26636388888889,-71.79756388888889,,-13.98590
194,11PA,Worcester,40.19194444444444,-75.31333333333333,,-11.92346
195,96KY,Woosley Fld,37.55222222222222,-87.27138888888891,,-3.77907
196,94KY,Woosley,37.500555555555565,-87.32944444444445,,-3.73163
197,5D5,Woolsey Meml,45.164346861111106,-85.57547811111111,,-6.15762
198,NE06,Woolf Brothers,42.82499833333333,-98.42535916666668,,4.03625
199,9OR8,Wooldridge Agstrip,44.732621388888894,-123.05564916666668,,14.89805
200,19TX,Woody Mc Clellan Ranch,31.23822833333333,-97.51418055555555,,3.34152
201,VG40,Woody Fld,36.88682222222222,-79.863925,,-8.72960
202,1R4,Woodworth,31.126352777777782,-92.50128888888891,,0.30308
203,OH03,Woodworth,41.79227333333333,-81.05815249999998,,-8.80327
204,IA89,Woodward State Hospital,41.871525,-93.9140277777778,,0.77858
205,CDN,Woodward Fld,34.28358333333333,-80.56486111111111,KCDN,-7.90293
206,64CT,Woodstock,41.92148638888889,-71.95285083333333,,-13.84606
207,FL86,Woodstock,26.582575555555554,-82.09842527777778,,-5.91984
208,40LA,Woodsland Plantation,32.345981111111115,-91.96957583333334,,-0.10460
209,90OH,Woodsfield,39.765350277777785,-81.13510722222223,,-8.38558
210,63II,Woods Fld,39.50505,-86.03026249999998,,-4.91552
211,VA50,Woods Farm Airstrip,37.715142500000006,-77.30247833333333,,-10.39202
212,FA38,Woods and Lakes Airpark,29.123590277777783,-81.8870277777778,,-6.38073
213,9OK8,Woods Acres,36.075609,-97.90616683333334,,3.62177
214,53W,Woodruff Lake,43.554602777777774,-84.97896388888887,,-6.31962
215,M60,Woodruff County,35.27190555555556,-91.27033055555556,,-0.74660
216,VG52,Woodridge Fld,37.83916666666667,-78.82166666666666,,-9.52338
217,98MO,Woodliff Airpark,38.786161388888885,-90.94236,,-1.22349
218,5IL8,Woodley 2,41.5225,-89.65555555555555,,-2.43834
219,82KY,Woodledge Farm,38.28340333333333,-85.48190388888891,,-5.15112
220,1NY0,Woodlawn Beach State Park,42.78811416666667,-78.84947777777778,,-10.43998
221,W27,Woodland State,45.89881833333333,-122.73727444444445,,15.11534
222,8AL8,Woodland Clinic,33.373038888888885,-85.39678333333335,,-4.61865
223,MU89,Woodland Airstrip,38.911925,-91.03619444444445,,-1.16439
224,3WN7,Woodland Airstrip,44.15,-87.61777777777776,,-4.37165
225,IS65,Woodlake Landing,41.63836333333333,-88.64452083333335,,-3.22719
226,O42,Woodlake,36.39877777777778,-119.10680555555555,,12.35066
227,OK14,Woodlake,36.83522222222223,-98.65772222222223,,4.09927
228,WH0,Woodhawk,47.77944444444446,-109.07861111111109,,10.95769
229,20VA,Woodford Airpark,38.08235638888889,-77.48831611111113,,-10.34913
230,4NK4,Woodford Airfield,42.827222222222225,-76.02583333333334,,-12.10033
231,MU27,Woodfield Airpark Inc,37.46810138888889,-93.92938166666669,,0.98541
232,JY17,Woodcrest Farms Airstrip,39.47222222222222,-75.2775,,-11.80362
233,TS34,Woodcreek-Shell,29.789116944444448,-95.60855583333333,,2.25210
234,34AR,Woodbridge Fld,35.58111111111111,-90.3852777777778,,-1.38298
235,6MS1,Woodbridge,32.45583333333334,-89.96972222222223,,-1.43737
236,3Y4,Woodbine Muni,41.73609944444445,-95.68361722222221,,2.09201
237,OBI,Woodbine Muni,39.219138888888885,-74.79475,KOBI,-12.00113
238,MD78,Woodbine,39.38343638888889,-77.07025833333333,,-10.81898
239,TX72,Wood Triple D,30.379097222222228,-97.1947125,,3.15835
240,WI12,Wood Tick Strip,44.016816666666664,-89.20251666666668,,-3.09183
241,1MT3,Wood Strip,46.55805555555556,-112.4125,,12.29561
242,12XA,Wood Farm Airfield,32.03933333333333,-102.34858333333332,,5.93649
243,6TS6,Wood Crest Ranch,31.04157472222223,-96.20162722222223,,2.58103
244,85OH,Wood County Hospital,41.37656111111111,-83.66670833333333,,-6.91109
245,JDD,Wood County - Collins Fld,32.74219444444444,-95.49647222222221,KJDD,2.13291
246,1G0,Wood County,41.391000000000005,-83.63013888888888,,-6.93977
247,WV73,Wood County,39.338138888888885,-81.44288888888889,,-8.10921
248,7MO1,Wood Acres,39.4731,-91.70903472222223,,-0.71130
249,8WI0,Wood,43.74386527777778,-89.81429166666666,,-2.56939
250,2CN4,Wonderful Pistachios & Almonds,35.66638888888889,-119.89638888888891,,12.35771
251,6OR6,Wonder,42.39150333333333,-123.53450972222224,,14.43827
252,2KY5,Womstead Fld,38.375,-83.15472222222223,,-6.79804
253,LS23,Womens's and Children's Hospital,30.153405555555555,-92.046275,,0.06639
254,3NC9,Womble Fld,35.878163888888885,-79.08702222222222,,-9.04863
255,1LA0,Woman's Hospital,30.38483888888889,-91.03913888888887,,-0.58994
256,XS15,Womack Ranch,30.77101111111111,-99.90035055555555,,4.63807
257,75TE,Womack Farm,31.74738416666667,-97.24611888888887,,3.18914
258,30MI,Wolverton's Fld,41.859212777777785,-86.32779111111111,,-5.02314
259,6S3,Woltermann Meml,45.630523888888895,-109.23921499999999,,10.72394
260,NC17,Wolf's Den,34.980164722222234,-76.30796916666667,,-10.49839
261,IL01,Wolford's,40.79253888888889,-90.438185,,-1.76865
262,IG06,Wolfelt,40.48805555555556,-86.85194444444444,,-4.43892
263,3AK0,Wolfe Point,55.3625,-131.70944444444444,,18.12946
264,IN65,Wolfe Fld,41.691439166666655,-85.59554166666666,,-5.54788
265,1OK3,Wolfe Fld,34.57607777777778,-97.81414444444445,,3.54682
266,XA32,Wolfe Fld,30.91147222222222,-97.1712777777778,,3.14484
267,3T2,Wolfe Air Park,29.47908333333333,-95.32655555555556,,2.09404
268,9AK8,Wolf Track,61.624742222222224,-149.68223,,15.45695
269,8WI5,Wolf River Landing Strip,44.51549594444445,-88.54163952777779,,-3.69066
270,54M,Wolf River,35.054023611111106,-89.58002638888887,,-1.90423
271,9NR4,Wolf Pit,35.35500000000001,-80.43138888888889,,-8.14181
272,OK59,Wolf Mountain,35.022320555555545,-94.70439388888887,,1.58272
273,4AK6,Wolf Lake,61.639375,-149.28395138888888,,15.60049
274,26W,Wolf Lake,42.209722222222226,-84.23166666666667,,-6.64207
275,2TN7,Wolf Creek,35.804444444444435,-84.41583333333334,,-5.57852
276,7ND1,Wolberg's Private,47.03733888888889,-102.76094722222223,,7.13854
277,GGW,Wokal Fld/Glasgow-Valley County,48.21244444444446,-106.61480555555555,KGGW,9.66174
278,WN77,Wnp-2 Plant Support Facility,46.4643025,-119.34113083333332,,14.53884
279,66G,Wm 'Tiny' Zehnder Fld,43.31435833333333,-83.7100638888889,,-7.22316
280,2JY3,Wm B  Kessler Meml Hospital,39.631413888888886,-74.77276944444445,,-12.08988
281,43KY,Wlky-Tv Studios,38.26393888888889,-85.71052777777777,,-4.98509
282,65CO,Wkr,40.520833333333336,-104.96677777777779,,7.94429
283,0FL7,Wkmg-Tv,28.59408333333333,-81.41988888888889,,-6.60242
284,38NJ,Wjrz Radio,39.69928583333333,-74.23430694444444,,-12.36775
285,6MO4,Wixted,38.04169666666667,-93.78354499999999,,0.86143
286,03IL,Wix,41.40225527777777,-87.81671333333333,,-3.83044
287,OSH,Wittman Rgnl,43.98449113888889,-88.55693486111109,KOSH,-3.60165
288,1NE2,Witthuhn,41.32500555555556,-99.91706583333334,,5.01407
289,5XS5,Wits End Ranch,32.54277777777778,-95.70861111111113,,2.26656
290,74WI,Witi Tv Studio Building,43.18111972222222,-87.96342111111113,,-3.95606
291,22OG,Withrotor,42.27543611111111,-120.39356944444445,,13.85229
292,ME41,Witherspoons Landing Strip,44.15258,-68.87642083333333,,-15.47668
293,SUA,Witham Fld,27.181699166666668,-80.22129333333334,KSUA,-7.14798
294,0WI7,With Wings and A Halo,44.13359611111111,-88.49927777777779,,-3.66886
295,4IA7,Witcombe Fld,42.47192888888889,-92.49518972222221,,-0.33957
296,4MI7,Witbeck Aerodrone,43.81335888888889,-84.82168611111109,,-6.48545
297,4WI0,Wissota,44.933295,-91.27237416666668,,-1.53919
298,65WA,Wissler's,46.840377777777775,-122.91624472222223,,15.36723
299,6AZ2,Wisky Ranch/Chevlon,34.61680555555556,-110.62796111111109,,9.68687
300,94WA,Wishkah River Ranch,47.084813888888895,-123.77377777777778,,15.56380
301,6L5,Wishek Muni,46.24962916666666,-99.53965833333334,,4.85663
302,95WI,Wisersky,42.93611111111111,-89.1297222222222,,-3.00980
303,WSM,Wiseman,67.40510694444447,-150.1208777777778,,15.60881
304,02T,Wise River,45.77002777777778,-112.98047222222222,,12.38084
305,XA57,Wise Rgnl Health System,33.218319444444454,-97.59693333333333,,3.40303
306,7S4,Wisdom,45.591589722222224,-113.45922555555555,,12.53173
307,IWI,Wiscasset,43.96141666666667,-69.71255555555554,KIWI,-15.16027
308,CO06,Wirth Fld,40.51361111111111,-103.91194444444444,,7.37267
309,WA01,Wirkkala,46.356215,-123.81459361111109,,15.39686
310,8AL9,Wiregrass Hospital,31.049623055555557,-85.89160277777779,,-4.02980
311,35MN,Wipline,44.815521944444434,-93.01354694444444,,-0.12374
312,09Y,Wipline,44.82755555555556,-93.00872222222222,,-0.12864
313,NK37,Winthrop University Hospital,40.74176777777778,-73.64401777777779,,-12.85412
314,NH67,Winterwood,42.97842083333334,-71.00950222222222,,-14.45879
315,3Y3,Winterset Muni,41.36280555555556,-94.02119444444445,,0.88492
316,77F,Winters Muni,31.947194194444453,-99.98585005555556,,4.72153
317,8MI9,Winters Fld,42.305,-84.10666666666665,,-6.75012
318,0II9,Winters,39.53421361111111,-86.57722194444445,,-4.51885
319,2MN1,Winter Strip,45.04606972222222,-95.46446583333334,,1.79855
320,GIF,Winter Haven Rgnl,28.062916666666666,-81.75330555555556,KGIF,-6.32639
321,60FD,Winter Haven Hospital,28.028805555555554,-81.72506111111113,,-6.33948
322,48NH,Winter Harbor,43.59388888888889,-71.26138888888889,,-14.50887
323,SD55,Winter Airfield,44.31583333333333,-98.27333333333333,,3.93070
324,SNK,Winston Fld,32.693388888888876,-100.95047222222223,KSNK,5.26246
325,10D,Winsted Muni,44.95385,-94.06539027777778,,0.70372
326,68NC,Winstead '76',36.399584166666656,-79.12806972222222,,-9.10500
327,INW,Winslow-Lindbergh Rgnl,35.02190972222222,-110.7225157777778,KINW,9.77992
328,5A6,Winona-Montgomery County,33.46498777777778,-89.73021750000001,,-1.67565
329,ONA,Winona Muni-Max Conrad Fld,44.079609888888896,-91.71162988888891,KONA,-1.09506
330,02D,Winona Lake,41.22305555555555,-85.83055555555555,,-5.30237
331,MN39,Winona Health Services,44.033875,-91.62328888888888,,-1.16085
332,F89,Winnsboro Muni,32.15300694444444,-91.69855694444445,,-0.27130
333,F51,Winnsboro Muni,32.938845555555545,-95.27886083333333,,1.99434
334,TE14,Winns,30.401311111111113,-97.96001222222222,,3.58669
335,7S2,Winnett,46.97666666666667,-108.365,,10.47470
336,IA04,Winneshiek  Medical Center,43.29413333333334,-91.77454722222221,,-0.96976
337,0MN0,Winner's Landing,44.79691111111111,-92.98410083333331,,-0.14569
338,ICR,Winner Rgnl,43.38948466666667,-99.84121441666666,KICR,5.02038
339,WMC,Winnemucca Muni,40.89661111111111,-117.80588888888887,KWMC,12.96764
340,77NC,Winnabow,34.152114722222215,-78.10554944444443,,-9.36726
341,0L6,Winn Parish Medical Center,31.92321888888889,-92.64570444444445,,0.35641
342,OR54,Winn,44.59845472222222,-123.20676444444445,,14.89152
343,15FD,Winkler Helistop,26.48098333333333,-81.896375,,-6.03158
344,4XA8,Winkler County Meml Hospital,31.849936111111113,-103.09091944444445,,6.28159
345,INK,Winkler County,31.779805555555555,-103.20169444444444,KINK,6.32896
346,OR74,Winkle Bar,42.70150083333333,-123.80508083333334,,14.54854
347,3FL6,Wink Tv,26.65083333333333,-81.85555555555554,,-6.07900
348,9S7,Winifred,47.55538888888889,-109.38670972222224,,11.08071
349,AK09,Wingsong Estates,64.04960666666666,-145.50232416666663,,17.11466
350,FA50,Wings-N-Wheels,29.36136166666667,-82.14981638888891,,-6.24665
351,CO58,Wings N Things Airpark & Museum,40.10581722222222,-104.9547,,7.89864
352,FL07,Wings N Sunsets LLC,30.25022555555556,-82.92401805555556,,-5.86889
353,73F,Wings For Christ Intl Flight Academy,31.62377638888889,-97.0224975,,3.05892
354,0WN9,Wings For Christ,48.430463888888895,-119.48605833333332,,15.02385
355,96FL,Wings Fld,29.24247,-82.54538305555555,,-5.98212
356,LOM,Wings Fld,40.137555555555565,-75.26513888888887,KLOM,-11.93768
357,2TN2,Wings Fld,35.22165000000001,-89.19017777777779,,-2.19005
358,CT42,Wings Ago Airstrip,41.853966666666665,-73.27564166666667,,-13.25784
359,RI07,Wing-Over Farm,41.578991944444454,-71.14171083333333,,-14.09515
360,4OH6,Wingfoot Lake Airship Operations,41.00950111111111,-81.35788666666666,,-8.45592
361,MD01,Wingfield,38.143458611111114,-76.35661472222222,,-10.99112
