"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-02-19,"02:05","2018-02-19T02:05Z","UAL317","DEN","UAS",NA,"NCT","Aircraft reported a UAS pass within 200 feet under their aircraftwhile at 4,000 feet 4 NM S OAK. No evasive action taken. Alameda Sheriff notified at 510-667-7721.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM S OAK","AIRPORT"
2018-02-19,"02:49","2018-02-19T02:49Z","ASQ4202","DEN","UAS",NA,"N90","Aircraft reported a UAS off the right side of their aircraft while W bound at 1,500 feet, 3 NM W EWR. No evasive action taken. Ne Jersey State PD notified at 609-963-6817.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM W EWR","AIRPORT"
2018-02-22,"05:55","2018-02-22T05:55Z","N363JG","NCRCC","UAS",NA,"LAX","Reported a UAS off the right wing while W bound at 3,600 feet 14 NM E LAX. No evasive action taken. LAPD Air Support Unit notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 NM E LAX","AIRPORT"
2018-03-01,"23:05","2018-03-01T23:05Z","N426PA","DEN","UAS","PAGED","NEW","Aircraft observed a 20-30 pound UAS pass within 30-40 feet off the right wing while E bound 1 NM SE NEW. No evasive action taken. New Orleans Levee DistrictPD notified at 504-283-9800. 1820 NEW advised PIC stated it was a NM AC situation. No other Aircraft observed the UAS. HQ DEN contacted New Orleans Levee DistrictPD, they have a unit in the area investigating.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 NM SE NEW","AIRPORT"
2018-03-03,"03:37","2018-03-03T03:37Z","ENDGM68","DEN","UAS",NA,"VQQ","Aircraft reported a UAS at 1,500 feet, 2.5 NM SE VQQ. No evasive action taken. UNKN if LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5 NM SE VQQ","AIRPORT"
2018-03-04,"07:34","2018-03-04T07:34Z","N6TC","DEN","UAS",NA,"BUR","Aircraft reported a gray quad copter UAS while E bound at 1,700 feet, 7 NM ESE VNY. No evasive action taken. Van Nuys Police 100 notified at 818-238-3310.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM ESE VNY","AIRPORT"
2018-03-09,"01:02","2018-03-09T01:02Z","HAL458","DEN","UAS",NA,"HCF","Aircraft reported a UAS 200 feet below them while E bound at 1,500 feet, 6 NM W HNL. No evasive action taken. Honolulu PD notified via 911.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM W HNL","AIRPORT"
2018-03-13,"03:11","2018-03-13T03:11Z","N407JT","DEN","UAS",NA,"SCT","Aircraft reported aUAS approximately 6 NM NELVK. No evasive action taken. Nolaw enforcement contact unknown.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM NELVK","AIRPORT"
2018-03-13,"23:39","2018-03-13T23:39Z","RPA4568","DEN","UAS",NA,"CLT","Aircraft reported a medium sized red and blue UAS above their aircraft at an altitude of 2,500 feet, 4 NM S CLT. No evasive action reported. CLT Airport 911 notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM S CLT","AIRPORT"
2018-03-15,"11:08","2018-03-15T11:08Z","FDX749","DEN","UAS",NA,"WOC","Wern ROC advised aircraft reported a UAS heading E bound 300 feet below aircraft while heading WSW bound at 7,000 feet, 7 NM ENE LAX. Evasive action not reported. Unknown if LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM ENE LAX","AIRPORT"
2018-03-16,"23:23","2018-03-16T23:23Z","N95315","DEN","UAS",NA,"ORL","Aircraft reported a red rotary UAS at the 6 o'clock position while W bound at 1,200 feet, 6 NM W ORL. No evasive action taken. LEOS notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM W ORL","AIRPORT"
2018-03-17,"00:02","2018-03-17T00:02Z","ENY3952","DEN","UAS",NA,"JFK","Aircraft reported a black UAS off their left side while NW bound at 3,000 feet, 13 NM NW JFK. No evasive action reported. Port Authority PD notified at 718-244-4333.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13 NM NW JFK","AIRPORT"
2018-03-18,"05:39","2018-03-18T05:39Z","EJA402","DEN","UAS",NA,"BJC","Aircraft observed a quad copter UAS 500 below their aircraft at 7,000 feet 2 NM SW BJC while turning downwind to base. No evasive action taken. Jefferson County Sheriff notified at 303-277-0211.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM SW BJC","AIRPORT"
2018-03-19,"23:04","2018-03-19T23:04Z","AAL462","DEN","UAS",NA,"N90","Aircraft reported a UAS pass below their aircraft from right to left while SW bound at 2,700 feet 3 NM N LGA. No evasive action reported. New York PD AviationUnit notified at 718-937-6963.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM N LGA","AIRPORT"
2018-03-20,"23:53","2018-03-20T23:53Z","N83364","DEN","UAS",NA,"SNA","Aircraft reported a UAS off their left side while ESE bound at 2,100 feet 5 NM N SNA. No evasive action taken. Orange County Sheriff notified at 949-252-5200.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM N SNA","AIRPORT"
2018-03-31,"23:55","2018-03-31T23:55Z","JBU1572","DEN","UAS",NA,"N90","Reported a red UAS off the left side while NE bound at 3,000 feet, 5 NM SSE LGA. No evasive action taken. NYPD Aviation Unit notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM SSE LGA","AIRPORT"
2018-04-15,"22:36","2018-04-15T22:36Z","JBU1043","DEN","UAS",NA,"PBI","Aircraft reported a 1.5 IN diameter black with red accents UAS 100 feet below their aircraft while at 2,000 feet 7 NM W PBI. No evasive action taken. Palm Beach County Sheriff notified at 561-471-7426.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM W PBI","AIRPORT"
2018-04-20,"10:18","2018-04-20T10:18Z","PEG78","DEN","UAS",NA,"VNY","Aircraft observed a silver 4 rotor wing UAS at 4,900 feet while heading SSE bound 10 NM NNW VNY. No evasive action taken. LEOs were not notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM NNW VNY","AIRPORT"
2018-04-25,"22:44","2018-04-25T22:44Z","N437RT","DEN","UAS",NA,"LIT","Aircraft observed a medium sized quadcopter UASwhile SWbound at2,800 feet 3 NM N LIT.No evasive action reported. Pulaski County Sheriff notified at 501-340-6963.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM N LIT","AIRPORT"
2018-05-02,"00:06","2018-05-02T00:06Z","SKW4478","DEN","UAS",NA,"S56","Aircraft reported a black and white UAS 400 feet below,while SSE bound at 5,400 feet, 2.5 NM N SLC. No evasive action reported. Salt Lake City ARPT PDnotified at 801-575-2401.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5 NM N SLC","AIRPORT"
2018-05-07,"00:11","2018-05-07T00:11Z","JIA5554","DEN","UAS",NA,"CLT","Aircraft reported a small to medium, black and silver quad copter UAS below their aircraft while WNW bound at 6,000 feet, 22 NM SSE CLT. No evasive action taken. Waxhaw PD notified at 704-843-0353.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22 NM SSE CLT","AIRPORT"
2018-05-14,"00:47","2018-05-14T00:47Z","N97075","DEN","UAS",NA,"SLC","Reported a UAS off the right side at 5,200 feet, 3 NM S SLC. No evasive action reported. SLC Airport PD notified at 801-575-2401.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM S SLC","AIRPORT"
2018-05-14,"23:29","2018-05-14T23:29Z","AAL2459","DEN","UAS",NA,"WOC","Reported a white and orange object, unable to determine if a balloon or a UAS at 11,500 feet, 15 NM SE MKE. No evasive action taken. LEO notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 NM SE MKE","AIRPORT"
2018-05-16,"00:36","2018-05-16T00:36Z","AAL799","DEN","UAS",NA,"I90","Aircraft reported a very large UAS off left side whileE bound at 13,500 feet, 20 NM S DAS. No evasive action taken. FBInotified at 713-693-5000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 NM S DAS","AIRPORT"
2018-05-16,"01:02","2018-05-16T01:02Z","JBU493","DEN","UAS",NA,"DEN","Aircraft reported a silver UAS with 4 rotors off the right side,10 NM NE DEN. Evasive action not reported. DEN ARPT PDnotified at 303-342-4211.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM NE DEN","AIRPORT"
2018-05-16,"02:00","2018-05-16T02:00Z","ASH6164","DEN","UAS",NA,"I90","Aircraft reported a shiny, silver quadcopter UAS, 200 feet above, while Wbound at 6,000 feet,8 NM SW IAH. No evasive action reported. Houston PDnotified at 713-884-3131.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM SW IAH","AIRPORT"
2018-05-20,"00:30","2018-05-20T00:30Z","N6869T","DEN","UAS",NA,"S56","Aircraft observed a white quad copter type UAS while Aircraft Wbound at 5,500 feet, 4.5 NM W SLC. No evasive action reported. SLC ARPT PD notified at 801-575-2401.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 NM W SLC","AIRPORT"
2018-05-20,"02:41","2018-05-20T02:41Z","N301TS","DEN","UAS",NA,"BOI","Aircraft passed a black UAS, 4 rotor type, 300 feet off left sidewhile SSW bound at 7,000 feet, 9 NM NNW BOI. No evasive action taken. Ada County dispatch notified at (208) 377-6790.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 NM NNW BOI","AIRPORT"
2018-06-17,"22:16","2018-06-17T22:16Z","CFRNN","DEN","UAS",NA,"ALB","Aircraft reported alarge UAS, with a white light, atsame altitude that passed 200 to 300 feet off the left side while NEbound at 5,500 feet, 40 NM SALB.Aircraft turned 10 degrees to the right to avoid it.New York State Police notified at 518-851-3111.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40 NM SALB","AIRPORT"
2018-07-08,"22:52","2018-07-08T22:52Z","N558PG","DEN","UAS",NA,"PCT","observed a blue quad copter, approximately 500 feet below,while at 9,000 feet,5 NM ENE MRB. No evasive action taken. Berkley PDnotified at 304-267-7000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM ENE MRB","AIRPORT"
2018-07-14,"23:26","2018-07-14T23:26Z","N70GX","DEN","UAS",NA,"DXR","PIC reported a UAS at 1,000FT 1.5 NM NE DXR over St. Peter's Church. No evasive action taken. LEO notified, phone number UNKN. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM NE DXR","AIRPORT"
2018-07-20,"02:36","2018-07-20T02:36Z","N5938Y","DEN","UAS",NA,"FDK","PIC reported a UAS while 2 NM NE FDK at 1,500FT. No evasive action taken. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM NE FDK","AIRPORT"
2018-07-21,"23:08","2018-07-21T23:08Z","ENY3474","DEN","UAS",NA,"ZAU","PIC reported white UAS 3FT in diameter quad copter while heading SW bound at 2,300FT from 3 o'clock position 5 NM W ORD. No evasive action taken. Chicago PD notified at 773-894-5000. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM W ORD","AIRPORT"
2018-08-09,"21:15","2018-08-09T21:15Z","JBU1422","DEN","UAS",NA,"FLL","PIC reported a silver UAS 1,000FT below Aircraft while E bound at 2,000FT 8 NM W FLL. No evasive action reported. Broward County Sheriff notified at 954-764-4357.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 NM W FLL","AIRPORT"
2018-08-14,"06:29","2018-08-14T06:29Z","CAP4262","DEN","UAS",NA,"AUS","PIC reported a black quadcopter UAS 100FT above while W bound at 1,600FT 2 NM NE AUS. No evasive action taken. Austin Police nofified at 512-530-2677.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM NE AUS","AIRPORT"
2018-08-14,"23:00","2018-08-14T23:00Z","DAL1633","DEN","UAS",NA,"DTW","PIC reported a gray and black UAS 2 NM SE DTW at 1,800FT. No evasive action was taken. Detroit PD notified at 734-942-5212.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM SE DTW","AIRPORT"
2018-08-14,"23:46","2018-08-14T23:46Z","DAL1327","DEN","UAS",NA,"LAX","PIC reported a red UAS with a camera attached to it while W bound at 6,800FT 22 NM E LAX. No evasive action taken. LA Sheriff notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22 NM E LAX","AIRPORT"
2018-08-16,"02:04","2018-08-16T02:04Z","DAL2734","DEN","UAS",NA,"A80","PIC reported a black UAS approximately 3FT in diameter 0.25 NM off left side while NNW bound at 3,000FT 15 NM E ATL. No evasive action taken. Henry County PD notified at 770-957-9121.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 NM E ATL","AIRPORT"
2018-08-19,"19:12","2018-08-19T19:12Z","ENV4083","DEN","UAS",NA,"CLT","PIC reported UAS off left side at same altitude of 400FT 1.25 NM N CLT. No evasive action taken. Charlotte PD notified at 704-326-3237.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.25 NM N CLT","AIRPORT"
2018-08-28,"03:59","2018-08-28T03:59Z","N8647E","DEN","UAS",NA,"PHX","PIC reported UAS at 12 o'clock position at same altitude while E bound at 2,500FT 2 NM E PHX. No evasive action taken. Phoenix PD notified at 602-262-7427.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM E PHX","AIRPORT"
2018-08-28,"04:14","2018-08-28T04:14Z","XSR507","DEN","UAS",NA,"DAL","PIC reported UAS at 9 o'clock position at same altitude while SE bound at 1,800FT 4 NM NW DAL. No evasive action taken. DFW DPS notified at 972-973-3210.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 NM NW DAL","AIRPORT"
2018-09-02,"22:10","2018-09-02T22:10Z","ASQ4236","DEN","UAS",NA,"STL","PIC reported a UAS pass 2,000FT below while WNW bound at 4,300FT 5 NM SW STL. No evasive action reported. STL County Sheriff notified at 314-615-5360.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM SW STL","AIRPORT"
2018-09-11,"22:12","2018-09-11T22:12Z","N1788T","DEN","UAS",NA,"P50","Aircraft reported a UAS 1,500 feet below while N bound at 9,000 feet 18 NM NNWPHX. No evasive action taken. Phoenix PD notified .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 NM NNWPH","AIRPORT"
2018-09-12,"22:28","2018-09-12T22:28Z","N5938U","DEN","UAS",NA,"C90","PIC reported a blue helicopter type UAS 20FT off right side while S bound at 1,900FT 6 NM NE PWK. No evasive action taken. FBI notified 312-242-6700.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM NE PWK","AIRPORT"
2018-09-21,"03:57","2018-09-21T03:57Z","RPA4532","DEN","UAS",NA,"JFK","PIC reported a UAS while ESE bound at 1,600FT 10 NM NW JFK. No evasive action taken. NYPD Aviation Unit notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM NW JFK","AIRPORT"
2018-09-22,"00:52","2018-09-22T00:52Z","AAL1702","DEN","UAS",NA,"P50","PIC reported a UAS at 12 o'clock 400FT below while N bound at 4,000FT 6 NM E PHX. No description of UAS reported. No evasive action taken. Phoenix Airport Police notified at 602-273-3311.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 NM E PHX","AIRPORT"
2018-09-22,"23:06","2018-09-22T23:06Z","N703CD","DEN","UAS",NA,"WOC","PIC reported a white UAS at 11,000FT while NNW bound 20 NM S DEN. No evasive action taken. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 NM S DEN","AIRPORT"
2018-09-23,"00:55","2018-09-23T00:55Z","N5766J","DEN","UAS",NA,"BUR","PIC reported a black quad-copter at 1,000FT while heading SSE bound 10 NM S BUR. No evasive action taken. LAPD Aviation Unit notified at 213-485-2600.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM S BUR","AIRPORT"
2018-10-01,"04:47","2018-10-01T04:47Z","EDV3452","DEN","UAS",NA,"N90","Pilot reported a black UAS 500 feet below aircraft at 3,000 feet at 12 O'clock, while NE bound, 7 NM SW LGA. No evasive action reported. NYPD Aviation Unit notified at 718-692-1220. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 NM SW LGA","AIRPORT"
2018-10-02,"23:52","2018-10-02T23:52Z","N479ER","DEN","UAS",NA,"SGJ","Pilot reported a UAS operating 600 feet to 800 feet while SE bound at unknown altitude, 1.5 NM NW SGJ. No evasive action reported. St. Johns County PD notified at 904-824-8304. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM NW SGJ","AIRPORT"
2018-10-17,"03:04","2018-10-17T03:04Z","WJA1100","DEN","UAS",NA,"LAX","PIC reported a UAS above while WSW bound at 7,000FT 30 NM NE LAX. No evasive action taken. Law enforcement notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 NM NE LAX","AIRPORT"
2018-10-18,"05:59","2018-10-18T05:59Z","N6919J","DEN","UAS","PAGED","PDK","The PIC reporteda black quadcopter UAS at 3,500FT passing 15FT off left side 10 NM N PDK. Evasive action not reported. Atlanta Police Department notified at 404-658-6666.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM N PDK","AIRPORT"
2018-10-19,"01:07","2018-10-19T01:07Z","N191CA","DEN","UAS",NA,"SLC","PIC observed a UAS at 6,000FT while S bound at same altitude 1.5 NM NE SLC. UAS came within 15FT of Aircraft. No evasive action taken. SLC Airport PD notified at 801-575-2401.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM NE SLC","AIRPORT"
2018-10-22,"17:57","2018-10-22T17:57Z","EDV5436","DEN","UAS",NA,"N90","PIC reported a grey quadcopter UAS 200FT above Aircraft while SW bound at 1,600FT 5 NM NE JFK. No evasive action reported. NYPD Aviation Unit notified at 718-921-1210.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM NE JFK","AIRPORT"
2018-10-24,"20:56","2018-10-24T20:56Z","N3DN","DEN","UAS",NA,"MCO","PIC reported a black UAS operating at 300FT 0.5 NM NE ORL. No evasive action reported. Local Law Enforcement notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5 NM NE ORL","AIRPORT"
2018-10-24,"22:51","2018-10-24T22:51Z","FJM273","DEN","UAS",NA,"ZNY","Aircraft observed a UAS off the left side while heading S bound 10 NM S JFK at 10,800 feet. No evasive action taken. Police not notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM S JFK","AIRPORT"
2018-10-31,"02:49","2018-10-31T02:49Z","DAL1956","DEN","UAS",NA,"MIA","PIC reported a white phantom quad-copter UAS off the right side while ESE bound at 700FT 2 NM NW MIA. No evasive action taken. Miami Dade PD Aviation Unit notified at 305-876-7373.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM NW MIA","AIRPORT"
2018-11-15,"22:32","2018-11-15T22:32Z","N914AC","DEN","UAS",NA,"ZLC","PIC reported a quadcopter UAS while ESE bound at 6,500FT 30 NM SSW SLC. No evasive action taken. Salt Lake ARPT PD notified at 801-575-2401.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 NM SSW SLC","AIRPORT"
2018-11-22,"22:55","2018-11-22T22:55Z","N56425","DEN","UAS",NA,"I90","PIC reported a dark green UAS at the 11 o'clock position under left wing less than100FT below Aircraft while E bound at 2,500FT 10 NM WSW IAH. No evasive action. FBI notified at 716-693-5000. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM WSW IAH","AIRPORT"
2018-12-04,"03:46","2018-12-04T03:46Z","AAL2148","CONR","UAS",NA,"LGA","Reported a UAS left side of aircraft at same attitude while SW bound at 1,200 feet 3 NM NE LGA. No evasive action taken. NYPD notified at 718-692-1220. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NE LGA","AIRPORT"
2018-12-04,"03:50","2018-12-04T03:50Z","DAL1287","CONR","UAS",NA,"LGA","Reported a UAS left side at same altitude while SW bound at 1,200 feet 3 NM NE LGA. No evasive action taken. NYPD notified at 718-692-1220. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 NM NE LGA","AIRPORT"
2019-01-25,"22:31","2019-01-25T22:31Z","AAL499","DEN","UAS",NA,"P50","Aircraft reported UAS off the leftat same altitude while S bound at 4,000 feet, 10 NM WNW PHX. No evasive action taken. Unknown if LEO notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NM WNW PHX","AIRPORT"
2019-01-28,"02:55","2019-01-28T02:55Z","N196MC","DEN","UAS",NA,"P50","PIC reported a white rotorcraft from the 12 o'clock position while NNW bound at 3,500FT 12 NM E PHX. No evasive action taken. Mesa PD notified at 480-644-2211.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 NM E PHX","AIRPORT"
