"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR"
2018-02-06,"03:38","2018-02-06T03:38Z","TX161","DEN","UAS",NA,"PAM","Aircraft observed a black UAS at 1,000 feet while on a 3 NM final to RWY 32R at PAM. No evasive action taken. Tyndall AFB Security notified at 850-283-2254.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-06,"07:17","2018-02-06T07:17Z","ZAPER12","DEN","UAS",NA,"TUS","While in the touch and go pattern for RWY 29R reported a UAS pass within a few hundred feet, just underneath the right wing. No evasive action taken. Air# helicopter notified on frequency. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-07,"03:27","2018-02-07T03:27Z","N148FA","DEN","UAS",NA,"CNO","Aircraft observed a white and blue UAS 400 feet below their Aircraft while on left base to RWY 26R at 1,500 feet, 3 SE CNO. No evasive action taken. Chino PD notified at 909-628-1234.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-07,"03:45","2018-02-07T03:45Z","LBTY483","DEN","UAS",NA,"LYH","Aircraft reported a NM AC with an UAS while on left downwind RWY 22. PIC reported UAS passed off their left side. ATCT visually confirmed UAS position.Evasive action not reported. UNKW if LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-08,"03:03","2018-02-08T03:03Z","N8405A","DEN","UAS",NA,"DEN","Aircraft reported a UAS pass off their right side at the 2 to 3 o'clock position and approximately 200-300 yards away while entering a left downwind to RWY 35L same altitude, 7,100 feet. No evasive action reported. UNKN if LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-08,"03:54","2018-02-08T03:54Z","SHOOTER43","DEN","UAS",NA,"END","Aircraft reported a UAS with red lights at 2,300 feet, 6 NM S of RWY 35C at END. No evasive action reported. LEO notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-09,"01:02","2018-02-09T01:02Z","N949MW","DEN","UAS",NA,"SNA","Aircraft reported a UAS 200 feet above their Aircraft while NNE bound1 NM NNE of RWY 20R. No evasive action taken. Huntington Beach PD HELO notified on frequency. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-09,"03:09","2018-02-09T03:09Z","ASQ543X","DEN","UAS",NA,"XNA","Aircraft reported a UAS pass 200 feet below and to the left of their Aircraft while at 900 feet, 3 NM final RWY 16. No evasive action taken. Benton County Comm Center notified 479-271-1005. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-11,"06:35","2018-02-11T06:35Z","NAX7073","DEN","UAS",NA,"OAK","Reported small grey UAS off right side while on final approach to OAK RWY 30.No evasive action taken. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,"04:36","2018-02-15T04:36Z",NA,"DEN","UAS",NA,"STX","ATCT observed a UAS moving E-to-W and hovering along the first 3,000 feet of RWY 28. No Aircraft involved. Local LEO and CFR notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,"04:39","2018-02-15T04:39Z","BAW295","DEN","UAS",NA,"C90","Aircraft observed at UAS while W bound at 3,800 feet 12 NM E of ORD while on final to RWY 28C. No evasive action was taken. Chicago FBI notified at 312-421-6700. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-15,"05:48","2018-02-15T05:48Z","UAL2073","DEN","UAS",NA,"IAH","Aircraft reported a UAS pass 50 feet over their Aircraftwhile descending through600 feet on short final to RWY 27 at IAH. No evasive action taken. Houston PD notified at 713-884-3131. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-17,"06:05","2018-02-17T06:05Z","DAL1248","DEN","UAS",NA,"A80","Aircraft reported an orange UAS at 2,600 feet vicinity RWY 26L centerline. Multiple departures reported the same UAS. No evasive action taken. LEO notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-18,"00:05","2018-02-18T00:05Z","N570DB","DEN","UAS",NA,"PIE","Aircraft reported a UAS while on short final to RWY 18 at 300 feet. UAS passed 100 feet below Aircraft. No evasive action taken. UNKN if LEO notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-19,"01:33","2018-02-19T01:33Z","SWA2543","DEN","UAS",NA,"LAX","Aircraft reported a black and gray UAS off their right side while they were on a 7 NM final to RWY 24R, 2,500 feet. Evasive action required a roll of 15 degrees. No injuries reported. LA World AirportPD notified at 310-646-4265. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-19,"01:41","2018-02-19T01:41Z","SWA2803","DEN","UAS",NA,"LAX","Aircraft reported a 3-4 foot gray UAS while at 2,700 feet on a 7 NM final to RWY 24R pass off their left side. No evasive action reported. LA World Airport PD notified at 310-646-4265.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-19,"04:24","2018-02-19T04:24Z","ENY3709","DEN","UAS",NA,"ORD","Aircraftreported a UAS 500 feet off their right side while S bound, descending out of 5,000 feet for RWY 27R, 18 NM NE ORD. No evasive action taken. FBI notified 312-421-6700.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-24,"21:35","2018-02-24T21:35Z","AAL2486","DEN","UAS",NA,"MCO","Aircraft reported a gray/white UAS carrying a red and white bag passed 500 feet under while at 1,000 feet on a 2 NM final to RWY 18R. No evasive action taken. Orange County Aviation Unit notified at 407-893-3600. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-26,"04:33","2018-02-26T04:33Z","N19896","DEN","UAS",NA,"SMO","Aircraft reported a UAS200 feet below their Aircraft whileondownwind forRWY 21 at1,400 FT. No evasive action reported. SMOAirport PD notifiedvia radio frequency.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-26,"05:38","2018-02-26T05:38Z","N2774J","DEN","UAS",NA,"VNY","Aircraft reported a UAS while conductingtouch and go approaches toVNY RWY 16L. PICreportedevasive maneuvers were taken to avoid the UAS. Unknown if LEO wasnotified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-26,"06:22","2018-02-26T06:22Z","ASA1591","DEN","UAS",NA,"SFO","Aircraft reported aquad copter UAS at 1,500FT4 NM E of SFOwhile on final RWY 28. No evasive action taken. ARPT Communication Center notified at 650-876-2355.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-26,"20:45","2018-02-26T20:45Z","SKW4821","DEN","UAS",NA,"DTW","Aircraft reported a black quad rotor UAS E of RWY 23 at 600 feet. No evasive action taken. Romulus PD notified at 734-941-8400.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-28,"00:14","2018-02-28T00:14Z","UAL545","DEN","UAS",NA,"SW1","Aircraft reported a UAS approximately 100 feet below their aircraft while N bound at 500 feet on 1 NM final RWY 35L. No evasive action reported. DEN Airport OPS notified 303-342-7200.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-28,"18:32","2018-02-28T18:32Z","ABX841","DEN","UAS",NA,"N90","Aircraft observed a white UAS while SW bound at 2,200 feet 7 NM NE of EWR on final to RWY 22L. No evasive action was taken. New Jersey State Police notified at 609-963-6817. HQ DEN contacted New Jersey State Police, they advised they notifythe FBI,New Jersey State Police will not investigate. HQ DEN contacted Newark FBI at 973-792-3000. FBI advised they had not received the information, HQ DEN provided information, FBI will write up areport and investigate. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-28,"18:36","2018-02-28T18:36Z","SKV7644","DEN","UAS",NA,"EWR","Aircraft observed alight coloredUAS while SW bound at 2,200 feet 7 NM NE of EWR on final to RWY 22L. No evasive action was taken. New Jersey State Police notified at 609-963-6817. HQ DEN contacted New Jersey State Police, they advised they notifythe FBI,New Jersey State Police will not investigate. HQ DEN contacted Newark FBI at 973-792-3000. FBI advised they had not received the information, HQ DEN provided information, FBI will write up areport and investigate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-28,"18:56","2018-02-28T18:56Z","GAJ514","DEN","UAS",NA,"EWR","Aircraft observed a UAS while SW bound at 2,200 feet 7 NM NE of EWR on final to RWY 22L. No evasive action was taken. New Jersey State Police notified at 609-963-6817. HQ DEN contacted New Jersey State Police, they advised they notifythe FBI,New Jersey State Police will not investigate. HQ DEN contacted Newark FBI at 973-792-3000. FBI advised they had not received the information, HQ DEN provided information, FBI will write up areport and investigate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-01,"22:20","2018-03-01T22:20Z","N651MA","DEN","UAS",NA,"OPF","Aircraft reported a black and red four rotor UAS while E bound at 500 feet 1 NM W of OPF on final to RWY 9L. No evasive action taken. Miami-Dade PD notified at 305-698-1500. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-02,"06:52","2018-03-02T06:52Z",NA,"DEN","OTHER","UAS","I90","I90 advised observing a radar target at 2151initially over the approach end of RWY 22 with a beacon code of 4245, climb from 1,000 feetto 10,100 feet and then hover over the approach end of RWY 31L.AADS replay shows a tag as AV1 at 2154, roll to UFO, then TFC at 2203. Target descends and drops from AADS at 2204. No Aircraft observed the UAS, however HOU ATCT visually observed a 'large white UAS until they lost sight of it to the ESE. HOU PD notified at 713-884-3131. No impact to ATC. NW advised. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-03,"06:18","2018-03-03T06:18Z","FDY2395","DEN","UAS",NA,"DFW","Aircraft reported a fixed wing, black and white UAS at the same altitude while at 2,800 feet on an 8 NM final to RWY 17L at DFW. No evasive action taken. LEO notification UNKN.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-03,"20:56","2018-03-03T20:56Z","RDDL102","DEN","UAS",NA,"DAB","Aircraft observed a small white UAS while NW bound at 500 feet on a 1.5 NM final to RWY 34. UAS flew from the ground directly towards the Aircraft and climbed above Aircraft to approximately 700 feet. No evasive action was taken, PIC stated he didn't have enough time. PIC reported incident as a NM AC. Volusia County Sheriff notified via 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-04,"00:48","2018-03-04T00:48Z","N36G","DEN","UAS",NA,"CMH","Aircraft reported a red and white UAS while N bound on base leg to RWY 10L at CMH. UAS passed through the arrival/departure corridor. No evasive action taken. Columbus PD HELO on frequency responded.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-04,"23:36","2018-03-04T23:36Z","AMF702","DEN","UAS",NA,"CLT","Aircraft reported a UAS, 100 FTbelow their aircraft, off the left side while N bound at 4,000 FT on final RWY 36R. No evasive action reported. York County Sheriffnotified at 803-628-3056. HQ DEN contacted York County Sheriff and they confirmed Officers have been dispatched to investigate. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-04,"23:51","2018-03-04T23:51Z","AAL558","DEN","UAS",NA,"CLT","Aircraft reported a UAS off the left side while N bound at3,300 FT on final RWY 36R. No evasive action reported. York County Sheriffnotified at 803-628-3056. HQ DEN contacted York County Sheriff and they confirmed Officers have been dispatched to investigate. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-05,"00:45","2018-03-05T00:45Z","RPA3529","DEN","UAS",NA,"EWR","Aircraft reported a UAS off the left side at 900 feet while on a 2 NM final to RWY 4R at EWR. No evasive action taken. NJ State PD notified at 609-963-6817.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-05,"02:55","2018-03-05T02:55Z","ENY4113","DEN","UAS",NA,"LGA","Aircraft reported a UAS while on a 8 NM final to RWY 31 at 2,100 feet, 8 NM SW of LGA. No evasive action taken. NYPD Aviation Unit notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-05,"04:08","2018-03-05T04:08Z","DAL423","DEN","UAS","PAGED","LAX","Aircraft reported a red and white UAS pass overhead by 20 feet while Wbound at 3,400 on final for RWY 24R, 10 NM E of LAX. No time to take evasive action. LAX City Operations Call Center notified at 310-646-4265. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-05,"04:09","2018-03-05T04:09Z","UAL1274","DEN","UAS",NA,"ZLA","Aircraft reported a UAS at 800 feet while on a 2 NM final to RWY 25L. No evasive action taken. LAPD notified at 310-646-4265. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-06,"02:00","2018-03-06T02:00Z","DAL128","DEN","UAS",NA,"LAX","Aircraft reported a black UAS at 2,300 feet while on final for RWY 24R. No evasive action taken. Unknown if LEO were notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,"02:25","2018-03-08T02:25Z","UPS5528","DEN","UAS",NA,"MCO","Aircraft reported 2 white quad rotor UASs approximately 5 feet in width pass 100 feet off the left side heading SW bound while the aircraft was N bound at 1,000 feet on a 3 NM final to RWY 36L. No evasive action take. Orange County Sheriff Aviation Unit notified at 407-893-3600. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-09,"04:45","2018-03-09T04:45Z","RPA4659","DEN","UAS",NA,"MCI","Aircraft reported striking a bird or a UAS while on a 5 NM final to RWY 1R at 2,500 feet. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-10,"01:01","2018-03-10T01:01Z","RPA4659","DEN","UAS",NA,"HQ DEN","March 8, 2345 - Aircraft reported striking a bird or a UAS while on a 5 NM final to RWY 1R at 2,500 feet. UPDATE: Republic Airlines Chief Pilot reports thatthe aircraft did not experience a bird or UAS strikeduring landing at MCI.PIC advisedthe sighting was most likely a bird, but co-pilot reported a UAS striketoATC during landing. MR notified. NFA. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-12,"05:15","2018-03-12T05:15Z","N915CM","DEN","UAS",NA,"STS","Aircraft reported a UAS off itsleft side whileonleft downwindRWY 14 at 2200 FT1 NM E of STS.No evasive action reported. Sonoma County Sheriffnotified at 707-565-2121.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-16,"00:36","2018-03-16T00:36Z","N5246S","DEN","UAS",NA,"FXE","Aircraft reported a yellow 2 foot square UAS pass under aircraft at 400 feet while E bound at 500 feet on short final to RWY 09 at FXE. No evasive action taken. Broward County Sheriff notified at 954-938-0650.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-16,"04:10","2018-03-16T04:10Z","ASQ4254","DEN","UAS",NA,"EWR","Aircraft reported a black UAS off the right side while SW bound at 700 feet on a 2 NM final to RWY 22L. No evasive action taken. NJ State PD notified at 609-963-6817. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-17,"04:08","2018-03-17T04:08Z","SKW4179","DEN","UAS",NA,"ORF","Aircraft reported a black, four rotor UAS at 750 feet while NE bound at same altitude .5 NM final RWY 5. No evasive action taken. Norfolk City PD notified at 757-441-5610.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-18,"05:59","2018-03-18T05:59Z","N20332","DEN","UAS",NA,"OPF","Aircraft observed a UAS 150 feet off their left side while W bound on downwind to RWY 9L at OPF. PIC reported a slight right bank to avoid the UAS. LEO notification attempted but no answer.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,"02:18","2018-03-19T02:18Z","ASA1784","DEN","UAS",NA,"LAX","Aircraft reported a white quad rotor UAS at 200 feet while on a 7 NM final to RWY 24R at 2,200 feet. No evasive action taken. LAPD Aviation Unit notified on frequency. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,"02:35","2018-03-19T02:35Z","UAL1140","DEN","UAS",NA,"S46","Aircraft reported a quad rotor UAS 200 below while S bound on a 8 NM final to RWY 16R at 2,700 feet. No evasive action taken. Seattle Port PD notified via 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,"02:37","2018-03-19T02:37Z","ASA639","DEN","UAS",NA,"S46","Aircraft reported a quad rotor UAS 200 feet below while on a 8 NM final to RWY 16R at 2,700 feet. No evasive action taken. Seattle Port PD notified at via 911. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,"18:28","2018-03-19T18:28Z","AAL2715","DEN","UAS",NA,"D10","PIC report a model rocket at 12 o'clock and 300 feet below while N bound at 5,000 feet on final to RWY 35 13 NM S of DFW. No evasive action taken. DALLAS Police notified at 972-973-3210.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-19,"21:19","2018-03-19T21:19Z","N65624","DEN","UAS",NA,"ORL","PIC reported a black and red UAS 300 feet below at the 3 o'clock position at 700 feet while departing RWY 25. No evasive action taken. LEOS not notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,"03:05","2018-03-20T03:05Z","AAL462","DEN","UAS",NA,"N90","Aircraft reported a white UAS on the left side while N bound climbing through 2,500 feet after departing RWY 4. No evasive action reported. NYPD notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,"03:12","2018-03-20T03:12Z","DAL1174","DEN","UAS",NA,"LGA","Aircraft reported a UAS off their left side at the same altitude while on a visual approach to RWY 31 at 1,000 feet, 2 NM SE LGA. No evasive action reported. NYPD notified at 718-692-1220.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,"10:06","2018-03-20T10:06Z","N58CW","DEN","UAS",NA,"BFI","Reported that a UAS passed 10 feet off of the right side while SE bound at 1,500 feet on a 4 mile final to RWY 32L. No evasive action taken. LEOwas not notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-21,"00:05","2018-03-21T00:05Z",NA,"DEN","UAS",NA,"BUR","Burbank ATCT advised that two unidentified aircraft on the ground at the arrival end of RWY 15 reported a UAS 100 feet 1 NM N of BUR. No evasive action reported. Burbank PD HELO on frequency, investigated with no success. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-21,"01:55","2018-03-21T01:55Z","N19804","DEN","UAS",NA,"VGT","Aircraft reported a white quad rotor UAS pass 200 feet overhead while on a 1/4 NM final to RWY 12R. No report of any evasive action taken. Las Vegas Metro PD notified at 702-828-3552.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-21,"03:05","2018-03-21T03:05Z","SKW7334","DEN","UAS",NA,"EWR","Aircraft reported a UAS at 1,000 feet while on a 6 NM final to RWY 4R at 1,700 feet. No evasive action taken. NJ State PD notified. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-22,"10:07","2018-03-22T10:07Z",NA,"DEN","UAS",NA,"DAB","Airport personnel reported a UAS with a red light a 300 feet 1.5 NM off the approach end of RWY 16. No Aircraft involved. No impact to operations. Volusia County Sheriff notified via 911.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-24,"02:25","2018-03-24T02:25Z","UAL2011","DEN","UAS",NA,"ORD","Reported a white 2 inch wide UAS while N bound on final to RWY 9L at 300 FT. No evasive action taken. Chicago Airport PD notified at 773-894-5000. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
