"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"DCA-1: Two aircraft reported a drone 1 NM N of RWY 19C at IAD at approximately 2002. Neither aircraft took evasive action and both landed safely. The drone was reported hovering over a construction site. Airport police are heading tothe construction site to investigate. IAD will file MOR.2050 Closeout: Airport Police discovered construction site closed, no findings.","['rwy19c']","[]","['DCA', 'IAD', 'IAD', 'MOR']","9/7/2018","1:08","2018-09-07T01:08Z","UAL1192","NCRCC","UAS","MOR","IAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM N of IAD","RWY 19C"
"Pilot reported a black UAS orbiting while ENE bound at 1,200 feet, 4 NM SW TEB on final to RWY 06. No evasive action taken. NY/NJ Port Authority Police Notified at. ","['rwy06 ']","['4 NM SW']","['TEB']","9/24/2018","1:17","2018-09-24T01:17Z","N546QS","DEN","UAS",NA,"ATO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","4 NM SW  ATO","RWY 06"
"Pilot reported a small brown UAS near the approach end of RWY 30R, hovering at 100 feet while aircraft was at 2,000 feet. on a right base leg to same RWY, 2 NM E of Phoenix-Mesa Gateway Airport. No evasive action taken. Mesa PD notified at. ","['rwy30r']","['2 NM E']","[]","9/25/2018","0:51","2018-09-25T00:51Z","NDU608","DEN","UAS",NA,"IWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","2 NM E of IWA","RWY 30R"
"Reported observing a silver and white 4 rotor UAS operating at 3,000 feet on the final to RWY 27L, 4 NM W of ATL. A second observation by another aircraft observed the same color UAS operating off of departure RWY 26L between 1,500 and 3,000 feet. Neither aircraft took evasive action. Clayton County Sheriff was notified via 911. Fulton County Airport PD was notified at. Note; Departures using RWY 26L were briefly halted while Atlanta PD Helicopter AIR1 combed the area on a N to sough pattern.Sighting reports terminated once AIR1 vacated the area. ","['rwy27l', 'rwy26l', 'rwy26l']","[]","['ATL']","9/30/2018","1:36","2018-09-30T01:36Z","DAL193","DEN","UAS",NA,"A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","4 NM W of A80","RWY 27L"
"The Chief Flight Instructor for Embry-Riddle reported a UAS at 200 feet approximately a quarter NM E of the departure end of RWY 07R. No aircraft involved. Volusia County Sheriff notified at.","['rwy07r']","[]","['07R']","10/8/2018","5:47","2018-10-08T05:47Z",NA,"DEN","UAS",NA,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY"," NM E of DAB","RWY 07R"
"PIC reported a quad UAS at same altitude while on departure RWY 07L while ENE bound climbing through 1,500FT at PHX airport. No evasive action taken. Sky Harbor ATCT observed three individuals 0.25 NM SE of the field who appeared to be operating the UAS. Phoenix PD notified at and are interviewing the individuals.","['rwy07l']","['25 NM SE']","['00F', 'PHX', 'TCT']","10/29/2018","1:26","2018-10-29T01:26Z","AAL619","DEN","UAS",NA,"PHX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","0.25 NM SE of PHX","RWY 07L"
"N9042Q reported a UAS while on right base for runway 15 at 1,800 feet, half NM S of the airport. No evasive action reported. Burbank PD notified at. ","['rwy 15 ']","[]","[]","11/14/2018","0:44","2018-11-14T00:44Z","N9042Q","CONR","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)"," NM S of BUR",NA
"PIC reported a white and redquadcopter at 5000FT 2 NM E of El Paso heading Wbound while on 2 NM final to RWY 26L. The Aircraft had to execute a missed approach because the UAS was below and could not descend. ENY3880 returned to land without incident. DPS notified.","['rwy26l']","['2 NM E', '2 NM ']","['00F', 'NY38']","1/28/2019","1:03","2019-01-28T01:03Z","ENY3880","DEN","UAS",NA,"ELP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","2 NM E of ELP","RWY 26L"
"Received a report via telephone of a UAS sighting in the vicinity of Route 50 and Centerville Road which is approximately1.5 - 2 NM S of the approach to IAD runway 1R (AML160003). Caller stated thatit appeared to be a fixed-wing type UAS with lights on the wings doing loops, unable to determine size.It didn't appear to be flying higher than 400 feet. NCRCC checked with IAD ATCT and they attempted to locate the UAS visually without success. IAD notified the Fairfax County Sheriff's Department whodispatched a vehicle to check the area - nothing found. NFA.","['rwy 1r']","[]","['IAD', 'CRC', 'IAD', 'TCT', 'IAD']","1/29/2019","4:35","2019-01-29T04:35Z",NA,"NCRCC","UAS",NA,"NCRCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM S of NCRCC",NA
"UAS:Fairfax County Police reported sighting a UAS of unknown characteristics at building height on Yeager Road1 NM E of IAD runway 1R or approximately at the DCA289019. This location is less than a NM S of the NCRCC in a new housing development called Discovery Square.Fairfax County Police number is.Time of sighting is approximately 1655Z. 1725 IAD ATCT reported LE was unable to locate the UAS orthe operator. NFA.","['rwy 1r']","[]","['IAD', 'DCA', 'CRC', 'IAD', 'TCT']","2/4/2019","22:05","2019-02-04T22:05Z",NA,"NCRCC","UAS","PAGED","NCRCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM E of NCRCC",NA
"Reported a green quad copter 11.3 NM W at 2,900 FT while on final to RWY 09. No evasive action taken. Miami-Dade PD contacted at 06-876-7373.","['rwy09 ']","['3 NM W']","[]","2/11/2019","3:52","2019-02-11T03:52Z","AAL2440","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","11.3 NM W  MIA","RWY 09"
"Reported black and white UAS at 1200 feet while SE bound at 1000 feet 3nm SE LGA on final to runway 22. The same UAS was reported by multiple aircraft 4 E of the George Washington bridge at 2400 feet. No evasive action reported by any aircraft. N90 reported no impact to operation. NYPD Aviation Unit notified.","['rwy 22 ']","[]","['LGA']","3/4/2019","2:09","2019-03-04T02:09Z","DAL1788","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","3nm SE LGA",NA
"Aircraft reportedwhite UASpass within 200 feetof Aircraft whileon the left crosswind approximately1/4 NM N of the RWY 35 departure end. No evasive action taken. DFW DPS notified at. ","['rwy35 ']","['4 NM N']","['DFW']","3/11/2019","4:55","2019-03-11T04:55Z","N2191","DEN","UAS",NA,"FTW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1/4 NM N of FTW","RWY 35"
"Reported sighting a UAS operating 1 NM NW of departure RWY 26. Subsequent departures did not observe the UAS activity, but remained atheightened alert. Evasive action not reported. Las Vegas Metro PD notified at.","['rwy26 ']","['1 NM NW']","[]","3/22/2019","11:05","2019-03-22T11:05Z","UAL1999","DEN","UAS",NA,"LAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM NW of LAS","RWY 26"
"Reported a UAS 0.25 NM W of RWY 01 at 200 FT. No evasive action was taken and the Tampa Airport Police were notified. No number reported. ","['rwy01 ']","[]","[]","5/9/2019","2:22","2019-05-09T02:22Z","SWA716","DEN","UAS",NA,"TPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","0.25 NM W of TPA","RWY 01"
"Reported a model airplane operating .25 NM E of RWY 18 at 100 feet. No evasive action taken. Johnson Co Sheriff contacted.","['rwy18 ']","[]","[]","6/6/2019","2:35","2019-06-06T02:35Z","N5258Y","DEN","UAS",NA,"ZKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY",".25 NM E of ZKC","RWY 18"
"Reported a blackUAS while turning final for RWY 13. The UAS was at 1,200 feet 1 NM S for the aircraft. N791PS also reported the UAS N of MMU at 2,000 feet No evasive action taken. Morristown PD notified.","['rwy13 ']","['1 NM S']","['N79', 'MMU']","6/13/2019","4:25","2019-06-13T04:25Z","N540CF","DEN","UAS",NA,"MMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM S  MMU","RWY 13"
"Reported observing a UAS operating over the 10 Freeway at800 feet, 1 NM S of departure RWY end while Sbound at 1,000 feet. Evasive action not reported. LEO not notified. ","[]","['1 NM S']","[]","6/21/2019","5:00","2019-06-21T05:00Z","N741LS","DEN","UAS",NA,"EMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM S of EMT",NA
"Sacramento Airport Authority notified of a model airplane hobbyist operating a UAS .25 NM N of the airport between arrival RWYs. No aircraft operations affected. Sacramento County Sheriff notified at. The Sheriff's Office investigated the area of the report and shut down the operation of a model aircraft. AWO notified.","[]","['25 NM N']","['AWO']","8/10/2020","17:55","2020-08-10T17:55Z",NA,"DEN","UAS",NA,"SMF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)",".25 NM N of SMF",NA
"DCA-2: Aircraft landing DCA runway 1 observed a UAS on the right side of the Potomac river approximately 5 NM S of the DCA airport (DCA187005) at 800 feet. No direction of movement given and only described as silver. No evasive action taken. Prince Georges County PD notified at. No other sightings by successive aircraft. DCA will complete MOR. MX notified.","['rwy 1 ']","['5 NM S']","['DCA', 'DCA', 'DCA', 'DCA', 'DCA', 'MOR']","9/18/2020","20:03","2020-09-18T20:03Z","SWA961","NCRCC","TOI-NCR FRZ","MOR, TOI-NCR FRZ, UAS","DCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM S of DCA",NA
"MASS State PD officer observed a UAS 1/2 NM WNW off the approach end of RWY 33L. No other description was offered. No impact to airport operations. LE attempting to locate operator. 2152 Operator located and admonished to cease operations. MASS State PD. ","['rwy33l']","['2 NM WNW']","[]","10/24/2020","21:30","2020-10-24T21:30Z",NA,"DEN","UAS",NA,"BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1/2 NM WNW of BOS","RWY 33L"
"Omaha Airport Authority reported an unauthorized drone over the correctional facility located approximately 1/8th NM S of RWY 18. No aircraft were involved. Omaha PD was notified at 911. HQ DEN contacted ATCT who confirmed there were no further sightings or impact to operations. ","['rwy18 ']","[]","['DEN', 'TCT']","12/29/2020","1:15","2020-12-29T01:15Z",NA,"DEN","UAS",NA,"OMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY"," NM S of OMA","RWY 18"
"Airport Operations observed a UAS 3/4 NM S of airport at approximately 400 feet. UAS was not observed by ATCT or aircraft in pattern. ATCT changed RWY 29 traffic to right traffic as a precaution to avoid the area. MA State PD notified at.","['rwy29 ']","[]","['TCT', 'TCT']","6/9/2021","15:26","2021-06-09T15:26Z",NA,"DEN","UAS",NA,"BED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","3/4 NM S of BED","RWY 29"
"At 1815 aircraft observed a black UAS 300 feet off the right side while E bound at 1500 feet, 1/4 NM S approach end RWY 26L. No evasive action was taken, however ATCT moved arrival traffic to RWY 26R to avoid UAS activity. UAS could not be seen from the ATCT and was not observed by any other aircraft. Chino Police notified at. CNO ATCT will transition back to normal pattern and arrival traffic. AWO notified.","['rwy26l', 'rwy26r']","['4 NM S']","['TCT', '26R', 'TCT', 'CNO', 'TCT', 'AWO']","7/24/2021","18:27","2021-07-24T18:27Z","N6395F","DEN","UAS","MOR","CNO",1366296663,"CNO","6:15","18:15","24-Jul-21","KCNO","D","1/4 MILE SOUTH OF AIRPORT",15,80,NA,-117.3813,33.5746,"N6395F C182 was on the left downwind for runway 26L and reported a drone black in color off his right side approx. 300ft. ACN.","Reviewed MOR Summary for a UAS report. P Roberts  7/27/2021 ","RUNWAY","1/4 NM S  CNO","RWY 26L"
"1213 EDT / 1613 UTC 8/7/2021
Orange County SO arrived on scene and reported no UAS activity visible. MCO resumed normal OPS on RWY 17L.

1151 EDT / 1551 UTC 8/7/2021
Orlando, FL (MCO), 3 SW aircraft observed a UAS while inbound to RWY 17L.. UAS was off the left side, at 900', 1/8 NM E of MCO. No evasive action was taken by any of the aircraft, however , MCO has ceased landing RWY 17L and will utilize RWY 18R. Orange County SO notified dispatched a helicopter to investigate. No impact to the operation.","['rwy17l', 'rwy17l', 'rwy17l', 'rwy18r']","[]","['MCO', 'MCO', 'MCO', 'MCO']","8/7/2021","15:42","2021-08-07T15:42Z",NA,"JATOC","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1/8 NM E of MCO","RWY 17L"
"1647 EDT / 2047 UTC 8/21/2021
RA13U, P28A, observed a white UAS off the departure end of RWY 26 while on upwind at approximately 600 feet, 1 NM W of Pensacola, FL (PNS). PNS ATCT moved traffic to RWY 19, and UAS subsequently moved to departure end of RWY 08 at 1619 EDT / 2019 UTC. No evasive action was taken, but ATCT is adjusting traffic to avoid last known area of UAS. PNS additionally reports they have had similar UAS operations at the same locations over the past few weeks. PNS PD notified. HQ DEN advised PNS to report any further UAS operations in vicinity of airport. ","['rwy26 ', 'rwy19', 'rwy08 ']","['1 NM W']","['A13', '28A', 'PNS', 'PNS', 'TCT', 'TCT', 'PNS', 'PNS', 'DEN', 'PNS']","8/21/2021","20:41","2021-08-21T20:41Z",NA,"JATOC","UAS",NA,"PNS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNWAY","1 NM W of PNS","RWY 26"
