"Aircraft observed a UAS off the right side while SW bound at 1,500 feet, 3NM NE of PVD. No evasive action was taken. Providence Airport PD notified at 401-447-6893.","3NM NE of PVD","N3473G C303 INBOUND FOR PVD RY 23.  THE PILOT REPORTED A QUADCOPTER AT 015FEET OVERFLYING APARTMENTS ON THE WATER SIDE.  THE DRONE WAS REPORTED AT THE PVD045003 AT 015FEET.  REPORTED TO THE DEN AND RIAC POLICE DEPARTMENT. PILOTS NAME PHILIP THAYER (706)464-7038",NA,"NA","NA"
"Aircraft observed a UAS off the right side while S bound at 1000 feet, 5 NM SSW of PDX. No evasive action was taken. Portland Port Authority notified at 503-460-4747.","5 NM SSW of PDX","N6758H WAS ORBITING OVER DOWNTOWN PORTLAND AT ~1600 AND REPORTED A DRONE OVER THE WEST END OF DOWNTOWN AROUND 1000 FEET AGL. NO EVASIVE ACTION TAKEN. DEN/ROC NOTIFIED. ROC/OC. LOCAL LAW ENFORCEMENT NOTIFIED. DEN/EC. ACTING ATM AT PDX WROTE THIS MOR.",NA,"45.3136","-122.4004"
"Aircraft observed a UAS while NE bound descending from 5,000 feet to 3,000 feet, in the left downwind to RWY 23L. No evasive action was taken. Greensboro Airport PD notified at 336-665-5642.",NA,"JIA5089 was cleared for a visual approach to RWY 23L and switched to the tower. After landing while on GC frequency the pilot reported a drone in the left downwind for RWY 23L between 3000-5000ft. No other information could be obtained before the pilot left the frequency. The drone had no effect on the flight of JIA5089. GSO Airport Police (336-665-5642) and the Guilford County Sheriff's Office (336-373-4500) were notified of the vague report. The ROC and DEN were subsequently called. ",NA,"NA","NA"
"Aircraft observed a white UAS off the left side while N bound at 1,500 feet, 10 NM W of PBI. No evasive action was taken. PBI SD notified at 561-688-3400.","10 NM W of PBI","DAL1651 (BCS3) WAS VECTORED FOR A BASE LEG TO RWY 10L AT PBI.  WHILE ON BASE, HE ADVISED THAT HE SAW A DRONE OFF HIS LEFT SIDE, APPROXIMATELY 1,500', WHITE COLOR, TRACKING NORTHBOUND.  DAL1651 WAS AT APPROXIMATELY 2,000' AT THE TIME.  PALM BEACH COUNTY SHERIFF OFFICE AND DEN NOTIFIED.  PILOT CONTACT INFORMATION: 732-768-4622.",NA,"NA","NA"
"Aircraft observed a UAS off the right side while W bound at 8,000 feet, 5NM N of THV. No evasive action was taken. Contact with Dover PD was attempted but no answer.","5NM N of THV","A/C REPORTED UAS 100 FEET OFF RIGHT WING.",NA,"40.0309","-76.8501"
"Aircraft observed a UAS off the right side while E bound at 3,000 feet, 2NM SE of VNY. No evasive action was taken. LAPD Air Support notified at 213-485-2600.","2NM SE of VNY","SWA5730 REPORTED UAS AT 3,000' DIRECTLY OFF HIS 3 O'CLOCK POSITION AS HE WAS PASSING THE FAF FOR RWY 8 (BUDDE). NO EVASIVE MANEUVERS WERE TAKEN AND SWA5730 LANDED WITHOUT INCIDENT.",NA,"NA","NA"
"Aircraft observed a white quad-copter UAS off the right side while SW bound at 100 feet, 2 NM SW of PRC. No evasive action was taken. PRCPD notified at 928-445-3131.","2 NM SW of PRC","ERU78 was on the upwind of runway 21L and reported to the local controller that he saw a white quadcopter in a construction area near the intersection of Pioneer Parkway and Commerce Drive being flown by an individual with a gray vehicle. The Prescott Police Department was called to investigate and the DEN was informed. ",NA,"NA","NA"
"Aircraft observed a UAS off the left side while S bound at 2,500 feet, 7 NM E of IWS. No evasive action was taken. LEO notified at 713-221-6000.","7 NM E of IWS","N21461 reported a red drone in the vicinity at 2500 ft. Controller said it was off his left side. Houston Sheriff Dept 713-221-6000 opt6 with Operator Eyeola",NA,"29.294832999999997","9.095322"
"Aircraft observed a UAS off the 12 o'clock while W bound at 9,000 feet, 14 NM SW of PMD. No evasive action was taken. LEO notified at 661-272-2400.","14 NM SW of PMD","BLK11 was descending via the Janny5 arrival passing 9100 and reported a unidentified drone passing beneath the aircraft at 8000ft. No TCAS alert was reported and no operations were affected.",NA,"NA","NA"
"Aircraft observed a UAS off the right side at 14,000 feet, 11 NM NE of ILG. No evasive action was taken. LEO notified at 910-620-1343.","11 NM NE of ILG","WASHINGTON ARTCC(ZDC), AREA-3(SNOW BIRD) CIC REPORTED THAT NEW BERN RADAR SECTOR(EWN), R-25 ON FREQUENCY 123.85, RECEIVED A DRONE REPORT FROM C2012(COAST GUARD), C30J/Z, FLT PLN FTE KILM./.KECG. 
THE AIRCRAFT REPORTED THE ENCOUNTER WHEN 11 NE OF ILM AT 14,000 MSL, AND REPORTED THE VEHICLE WAS SOUTHBOUND, AT THE SAME ALTITUDE, PASSED OFF OF THE RIGHT SIDE OF THE AIRCRAFT, WAS WHITE IN COLOR, NUMBER OF ROTORS/PROPS UNKNOWN, AND NO LIGHTS VISIBLE. 
NO EVASIVE ACTION TAKEN, NO INJURIES. 
LAW ENFORCEMENT CONTACTED WAS THE NEW HANOVER COUNTY SHEFIFF???S OFFICE KILM AIRPORT BRANCH AT 910-620-1343.",NA,"NA","NA"
"Aircraft observed a UAS while S bound at 2,000 feet, 4NM NW of YIP. No evasive action was taken. Detroit Metro PD notified at 734-942-5212.","4NM NW of YIP","CESNA 172 IFR TRANSITIONING YIP AIRSPACE FROM SE TO NW WAS CLIMING FROM 020 TO 030 MAINTAINING COMMUNICATIONS WITH D21 APPROACH. THE CESNA SPOTTED A UAS 4 MILES NW OF YIP, MANUVERING SOUTH AT 020 FEET. D21 APPROACH RELAYED INFO TO YIP. ","4 MILES NW OF YIP","42.2918","-83.5622"
"Aircraft observed a UAS while S bound at 100 feet, 1 NM N of DEN. No evasive action was taken. LEO notified at 303-392-4211.","1 NM N of DEN","UAL1094 1 MI FA RWY16R REPORTED SEEING A WHITE UAS AT 100AGL ON THE RWY16R FINAL. THEY ALSO REPORTED SEEING A SILVER VEHICLE IN THE AREA. NO EVASIVE ACTION TAKEN. DEN/ROC/ATM/CCD/POLICE NOTIFIED. ",NA,"39.9161","-104.6958"
"Aircraft observed a UAS off the right side while W bound at 5,000 feet, 5 NM W of UGN. No evasive action was taken. LEO not notified.","5 NM W of UGN","N452DD, A C206 REPORTS A DRONE 5 MILES WEST OF UGN.  ALL EVENTS AND DESCRIPTION LISTED ABOVE.","5 MILES WEST OF UGN","NA","NA"
"Aircraft observed a quadcopter UAS 200 feet below while W bound at 8,000 feet, 10 NM W of IAH. No evasive action was taken. FBI notified at 713-693-5000.","10 NM W of IAH","SKW5027, climbing through 080 reported what appeared to be a quadcopter UAS passed 200 feet below.  No evasive action was taken. The controller stopped the subsequent aircraft at 060 to avoid the area. ",NA,"NA","NA"
"Aircraft observed a black quad-copter UAS on the right side while N bound at 2,500 feet, 5 NM S of MSN. No evasive action was taken. Madison PD notified at 608-255-2345.","5 NM S of MSN","ENY4231 WAS ON A 5 MILE FINAL AND LANDING RUNWAY 36. PILOT REPORTED A BLACK QUADCOPTER DRONE OFF HIS RIGHT HAND SIDE AT 025FT. NO EVASIVE ACTION NEEDED. ",NA,"NA","NA"
NA,NA,"EJA761 inbound from the west reported an unmanned small type drone higher than should be in the vicinity. LAPD air support notified for area patrol. ",NA,"NA","NA"
"Aircraft observed a UAS on a 2-3 NM final to RWY25L while at 1,000 feet. No evasive action was taken. LAPD notified at 310-646-4265. ","2-3 NM ","UNAUTHORIZED UAS ACTIVITY RY25L: NKS1157, A319, N522NK, KSTL-KLAX, BETWEEN A 2 AND 3 MILE FINAL AT 1000 FT, NO EVASIVE ACTION, LANDED WOI, LAWA ARCC NOTIFIED AT 1958Z, DEN NOTIFIED AT 1959Z.",NA,"33.94","-118.34"
"Aircraft observed a white quad-copter UAS off the left side while WSW bound at 800 feet on 1 NM final to RWY 25L. No evasive action was taken. LAPD notified at 310-646-4265.","1 NM ","UNAUTHORIZED UAS ACTIVITY RY25L: NKS1244, A20N, N942NK, KDEN-KLAX, LEFT SIDE BETWEEN 1 AND 2 MILE FINAL AT 800 FT, WHITE, QUAD COPTER, NO EVASIVE ACTION, LANDED WOI, LAWA ARCC NOTIFIED AT 2016Z, DEN NOTIFIED AT 2018Z.",NA,"33.94","-118.34"
NA,NA,"LEGCY11, 2/V22 GSO overflight reported to RDU ATC that they saw a UAS 10 southeast of the GSO VOR at 80. The RDU controller reported the information to GSO. GSO contacted High Point City Police with the grid coordinate and all known information. DEN notified. ",NA,"35.5443","79.5702"
"Aircraft observed a white quad-copter UAS off the left side while W bound at 3,600 feet, 15 NM E of LAX. No evasive action was taken. LAPD Air Unit notified at 213-485-2600.","15 NM E of LAX","AAL1029 REPORTED A WHITE QUAD-COPTER DRONE OPERATING OFF HIS LEFT AT 036. NO EVASIVE MANUEVERING REQUIRED. LANDED WITHOUT FURTHER INCIDENT.",NA,"NA","NA"
"Aircraft observed a quad copter UAS directly in front and 100 feet below while at 800 feet on 3NM final to ISP. No evasive action was taken.  Suffix PD called via 911.","3NM ","FFT2862 CHECKED IN ON 7 MILE FINAL FOR RWY 24. WHILE ON 3 MILE AT 800 FEET PILOT REPORTED PASSING OVER A UAS 100 FEET BELOW A/C. NO EVASIVE MANUERVING WAS REQUIRED, A/C LANDED WITHOUT INCIDENT ON RWY 24.",NA,"NA","NA"
"The Air Tactical Commander of the Chuweah Creek Fire called morning on 7/19/2021 to ZSE to report suspicious UAS activity. Reported the UAS was spotted following a tanker aircraft. The UAS was black on bottom and white on top and had an 8 foot wing (sloping) span. The UAS was able to fly 100+mph and made several abrupt maneuvers, to include following the maneuvers and turns of the tanker. The tanking operations were suspended as a result. 0145 HQ DEN acquired information from ZSE in regards to the UAS reported during firefighting operations. ZSE stated there was a TFR in place, 1/1362, for the firefighting operations. Colville Agency at 509-634-3100 was given as the POC. ",NA,"The Air Tactical Commander of the Chuweah Creek Fire called the following day to report suspicious UAS activity.  It was reported that UAS was spotted following the tanker aircraft.  The UAS was black on bottom and white on top and had an 8 foot fixed wing (sloping wings) span.  The UAS was able to fly 100 mph+ and made several abrupt maneuvers, to include following the maneuvers and turns of the tanker.  The tanking operations had to be suspended as a result.",NA,"NA","NA"
"Aircraft observed a blue quadcopter UAS off the left side while W bound at 2,100 feet, 5.5 NM E of PHL. No evasive action was taken. Philadelphia Airport PD notified at 215-937-6963.","5.5 NM E of PHL","JIA5118 REPORTS SEEING BLUE DRONE OR BALLOON ON 5.5NM FINAL RWY 27L. A/C AT 2,1000, PILOT REPORTS UAS 2OOFT BELOW THEM, 1/2 MILE OFF LEFT SIDE OF PLANE. ATIS BROADCAST, AP POLICE AND DEN NOTIFIED.","5.5NM ","NA","NA"
"Aircraft observed a red/black UAS while E bound at 200 feet, 1 NM W of ORD. No evasive action was taken. No impact to airport operations. Chicago Airport PD notified at 773-894-5000.","1 NM W of ORD","Pilot reported UAS 50 feet above ground on 1 mile final to 10C. Notified C90. Added to ATIS",NA,"NA","NA"
"Aircraft observed a red UAS off the right side while S bound at 3,000 feet 6 NM N of BAZ. No evasive action was taken. LEO notified on FREQ. ","6 NM N of BAZ","DPS ACFT N2145R (C206) WAS INBOUND FOR KBAZ 6 MILES NORTH OF KBAZ HEADING 170 AT 030 WHEN THEY SAY A ROTOCRAFT DRONE PASSED APPROX 10FT OFF THEIR RT WING. PILOT MATTHEW RODRIGUEZ 915-342-0187, REPORTED TO SAT TRACON SUPERVISOR THAT HE CONSIDERED IT A NEAR MID AIR. THE UAS EVENT WAS RELAYED TO SAT TRACON FROM BAZ ATCT. BAZ ATCT WAS IN COMMUNICATION WITH N2145R. BAZ ATCT CONTACT INFORMATION 830-626-6756. BAZ ATM NOTIFIED. NO OTHER IMPACTS REPORTED. ","6 MILES NORTH OF KBAZ","NA","NA"
"Aircraft observed a UAS at 920 feet 2 NM SW of RDU on final to the runway. No evasive action was taken. Wake County dispatch notified at 919-856-6911.","2 NM SW of RDU","N711CG/SR22, on a 2 mile final for RWY 23R at RDU (approximately 900ft), reported a black drone with 8 rotors operating just to his right and 20ft above him. (RDU230002) No evasive maneuvers were taken. DAL2600/B737, second aircraft behind N711CG on the final, reported the drone as well. DAL2600 position report concurred with the previous aircraft. TSA/RDUAA and Morrisville Police were notified. DEN advised as well.",NA,"NA","NA"
"Aircraft observed a red UAS while N bound at 10,500 feet, 45 NM N of NID. No evasive action was taken. LEO not notified.","45 NM N of NID","While receiving traffic advisories from JCF, AMF1902 reported a UAS passing by them opposite direction within 100 feet. The pilot reported that the UAS was moving too fast to see the size of the unmanned aircraft. AMF1902 stated the UAS was red in color. No evasive actions were reported.",NA,"NA","NA"
NA,NA,"JIA5265 (CRJ7) REPORTED A SMALL, WHITE, SQUARE SHAPED DRONE OVER THE WILSON BRIDGE AT 200FT HEADING SOUTHBOUND. JIA5265 DID NOT TAKE ANY EVASIVE ACTION AND LANDED WITHOUT INCIDENT ON RWY 1 AT 1639Z. THE SUBSEQUENT TWO ARRIVALS FOR RWY 1 DID NOT REPORT ANY DRONE ACTIVITY. THE DRONE ACTIVITY WAS BROADCASTED ON THE LC FREQUENCY AND LAW ENFORCEMENT (ALEXANDRIA POLICE - DISPATCH 4137) AND THE NCRCC VIA THE DEN WERE INFORMED.  ",NA,"NA","NA"
"Ground personnel observed a black UAS operating at 1-200 feet above the flight line. No change to operations. UAS exited airport W bound. Base Security Forces notified at 505-846-7913.",NA,"Mr. Harrold with Kirtland AFB advised ABQ tower that a UAS was sighted over the military ramp directly east of ABQ tower and heading westbound. ABQ tower advised Military police of the sighting. POC (505) 846-1478/6944. ",NA,"NA","NA"
"Aircraft observed a black quad-copter UAS off the front side while NW bound at 1200 feet, 3.5 NM SE of HVN. No evasive action was taken. New Haven PD notified at 508-360-1691.","3.5 NM SE of HVN","N812RX F2TH ON RNAV/DPS FINAL RY20 APPROXIMATELY 3.5 MILE FINAL (41.1548 72.5315) REPORTED UAS ON THE RIGHT SIDE AT 1200FT. NEW HAVEN PD NOTIFIED OFC MORGILLO CASE NO# 21-26386. PILOT NAME N. LAPLANTE 508-360-1691. COLOR BLACK BELIEVES IT WAS A QUAD. NO EVASIVE ACTION TAKEN. ACN.",NA,"41.1548","72.53150000000001"
NA,NA,"JIA5596 LANDED RWY 19 AND REPORTED A DRONE, WEST OF FINAL AT 200 FEET. THE PILOT REPORTED THE DRONE HAD AN ORANGE LIGHT AND WWAS HEADED EAST BOUND. ALL AIRCRAFT THAT LANDED AFTER JIA5596 WERE NOTIFIED AND NO OTHER AIRCRAFT REPORTED SEEING THE DRONE. PARK POLICE WERE NOTIFIED ALSO AND SAID THAT ""THEY WOULD SEND SOMEONE OUT TO LOOK AT IT"". ",NA,"NA","NA"
"Aircraft observed a white/grey UAS off the right side while E bound at 4,000 feet, 15 NM SE of ASH. No evasive action was taken. Local DPS notified at 828-624-4577.","15 NM SE of ASH","CAP3285 C172 Reported a UAS sighted off his right side at the same altitude (040). He said that it was a white/gray quadcopter in the vicinity of Chimney Rock. AVL DPS notfd and they said they would relay to appropriate law enforcement. ROC and DEN notfd. No other sightings by CAP3285 or other aircraft. There was no impact to AVL operation. AVL DPS called back and advised they had talked to Lake Lure PD 828-625-4911, and they said they were aware that there has been drone activity in the past in that area. AVL contacted Lake Lure PD, and they said they had officers looking for UAS operator.",NA,"35.2526","82.1348"
"DCA-1:  US Supreme Court Police reported a UAS at 1344 local.  The UAS was recovered in heavy foliage on the north side of the Supreme Court grounds.  UAS was about the size of a softball red in color.  No operator was identified.  The link describes the UAS.  https://www.amazon.com/Drone-Flying-Operated-Drones-Adults/dp/B07MGQWKM8    DCA ATCT will file a retroactive MOR.",NA,"On Wednesday, July 21, 2021 US Supreme Court reported to US Capitol Police (USCP) Headquarters that a UAS Drone was reported flying in the area of First and Maryland Avenue, NE, Washington, DC and crashed into the northside of the Supreme Court Building.  Officers from US Supreme Court, US Capitol Police, USCP Crime Scene, and USCP JTTF arrived on scene to investigate.  A red drone was found in the bushes and an investigation to locate the operator of the drone was met with negative results.   US Capitol Police did not have any camera footage of the drone.  The investigation was completed and the US Supreme court returned to normal operations at 1430.  The reported UAS's closest range to DCA was 2 nautical miles.  No further action was taken.",NA,"NA","NA"
"Aircraft observed a gray UAS from the 12 o'clock position while WNW bound at 2,000 feet 2 NM WNW of IWA. No evasive action was taken. Mesa PD notified at 480-644-2211.","2 NM WNW of IWA","NDU622 REPORTED LARGE GREY DRONE DIRECTLY AHEAD AND LOWER AT APPROXIMATELY 020 MSL MOVING NORTHBOUND. NO EVASIVE ACTION TAKEN.",NA,"NA","NA"
"Aircraft observed a UAS while E bound at 700 feet 6 NM of NUN. No evasive action taken. No evasive action was taken. Pensacola PD notified at 850-435-1845.","6 NM of NUN","SY44Q (C172) departed RWY 26, with a left turn on course (approximately a 100 heading).  Just off the departure end they reported a drone about 1/4 mile west of the departure end at 700 feet.  They did not have to take evasive maneuvers to avoid it, and the personnel in the tower were unable to see it with binos.  SY44Q continued on their VFR flight plan with no further issues.",NA,"NA","NA"
"Aircraft observed a large 6 bladed UAS at their 12 o'clock, 100 feet ahead and below aircraft at 2,300 feet 7 NM E of ROA. Aircraft deviated to the right to avoid UAS. No other information reported. AWO notified. ","7 NM E of ROA","N524DS WAS INBOUND TO ROA ENTERING A RIGHT BASE TO RUNWAY 34 WHEN THEY OBSERVED A LARGE 6 BLADED DRONE AT THEIR 12 O'CLOCK, 100 FEET AHEAD AND 100 FEET BELOW. THE A/C TOOK EVASIVE MANEUVER AND DEVIATED TO THE RIGHT.  THE A/C LANDED SAFELY. ",NA,"NA","NA"
"1822 EDT / 2222 UTC 7/21/2021
N524DS/DA40 observed a UAS 100 feet ahead and 100 feet below while on a right base for RWY 34 at 2300 feet. N524DS deviated to the right to avoid UAS. LEO notified at 1715 EDT / 2115 UTC.",NA,"N524DS WAS INBOUND TO ROA ENTERING A RIGHT BASE TO RUNWAY 34 WHEN THEY OBSERVED A LARGE 6 BLADED DRONE AT THEIR 12 O'CLOCK, 100 FEET AHEAD AND 100 FEET BELOW. THE A/C TOOK EVASIVE MANEUVER AND DEVIATED TO THE RIGHT.  THE A/C LANDED SAFELY. ",NA,"NA","NA"
"Aircraft observed a black and orange rotorcraft UAS off the 12 o'clock while S bound at 6000 feet, 6 NM NE of RSW. No evasive action was taken. Lee County Sheriff notified at 239-258-3990.","6 NM NE of RSW","KPO618 REPORTED ORANGE AND BLACK UAS AT 12 O'CLOCK AND FLEW DIRECTLY OVER THE UAS 500FT BELOW THE AIRCRAFT.",NA,"26.60444","-81.657778"
"Aircraft observed a large dark UAS 500 feet below while NE bound at 5,000 feet, 1 NM S of ORF. No evasive action was taken. Norfolk PD notified at 757-857-3223.","1 NM S of ORF","AAL1612 reported a drone passing less than 500 feet above them at 050, NE bound on a 050 heading in the downwind for RWY 5 ORF.  The drone was reported as approximately 3x3 to 4x4 in size and ""dark"" in color, traveling southeast to northwest in flight path.  No response or corrective actions were necessary for the pilot or controller. Local law enforcement was notified. ",NA,"NA","NA"
"Aircraft observed a UAS off the left side, same altitude of 4,000 feet, 13 NM SE of PDX. No evasive action was taken, however, PIC stated it was almost a mid-air. Port of Portland notified at 503-460-4000. ","13 NM SE of PDX","QXE2407 was on vectors for a visual approach into PDX. The pilot reported a UAS within 50-100 feet off of their left wing at the same altitude. No evasive maneuvers were taken. The pilot reported it as a near mid air collision. DEN NTFD.",NA,"45.379200000000004","-122.495"
"Aircraft observed a UAS while NE bound at 1,200 feet, 2 NM final RWY 5. No evasive action was taken. Yeager Airport Police notified at 304-989-3239.","2 NM ","N220JA REPORTED A RC(UAS) AIRCRAFT  ON 1-2NM FINAL FOR RWY 5 WHILE DOING PATTERN WORK. N220JA STATED IT APPEARED TO LOOK LIKE A REMOTE CONTROLLED FIXED WING, WHITE IN COLOR. THE UAS WAS OBSERVED FLYING IN THE LOCAL AREA SHORT FINAL FOR RWY 5. UAS CHECKLIST COMPLETED.  ","1-2NM ","NA","NA"
"Aircraft observed a UAS off the left side while N bound at 4,500 feet, 2 NM NE of O69. No evasive action was taken. Petaluma PD notified at 707-778-4372.","2 NM NE of O69","ON 7/22/2021 AT APPROXIMATELY 0132Z N6784A REPORTED A FAST MOVING DRONE OPPOSITE DIRECTION OFF THEIR NINE O CLOCK.  NO OTHER DETAILS PROVIDED.

I WAS UNABLE TO CORRECTLY ENTER THE DATA FOR INCIDENT DURATION.  CORRECT INFO SHOULD BE 7/22/2021 FROM 0132Z TO 0133Z.",NA,"38.28","-122.57000000000001"
"Aircraft observed a UAS off the right side while SW bound at FL180, 32 NM NE of MXE. No evasive action was taken. LEO notified at 609-936-6900.","32 NM NE of MXE","JBU1551 reported a drone out the window as he was climbing out of FL180",NA,"NA","NA"
"Aircraft observed a UAS while NNE bound at 1,500 feet, 1 NM NW of FAI. No evasive action was taken. LEO notified and investigated area with negative findings.","1 NM NW of FAI","N94266 REPORTED A DRONE OPERATING OVER THE CHENA RIVER WEST OF THE FAIRBANKS AIRPORT IN THE VICINITY OF PIKE'S LANDING AT 0056Z ON 7/23/2021. SUBSEQUENT ARRIVING AIRCRAFT RECEIVED CONTROL INSTRUCTIONS TO AVOID THE AREA. AIRPORT POLICE INVESTIGATED PIKE'S AND NO EVIDENCE OF DRONE ACTIVITY FOUND.  NO ADDITIONAL REPORTS RECEIVED.",NA,"NA","NA"
"Aircraft observed a UAS off the left side while on 2NM FNL RWY 31 at 800 feet. No evasive action was taken. LEO notified at 718-692-1220.","2NM ","RPA5013 REPORTED SEEING A DRONE 700FT ON FINAL.  NO EVASIVE MANUEVERS, NO INJURIES.",NA,"NA","NA"
"DCA-1: ADW Base Police observed a UAS with red and green lights, off the east side of ADW base, DCA121009, while hovering and eventually southbound. Altitude and type unknown. ADW LEO notified at 301-981-2002. 0735Z  ADW Tower reports a UAS with white, red, and green lights, 35-50 feet above AF1 hanger. Base PD investigating. 0803 NCRCC called ADW PD and they confirmed that original sighting over east gate went dark, and reappeared over AF1 hanger about 15-20 minutes later. UAS was detected by electronic means and verified by sightings from two different PD teams. No counter measures used at this time. 0926 Closeout: No more sightings reported. ADW will do MOR. 0929 ADW Tower talked to PAG security and they said that they never saw the UAS that the base security was seeing. PAG security said all they saw were lights from overflight aircraft.",NA,"AT APPROXIMATELY 0637Z ADW'S UAS COUNTERMEASURE SENSORS WERE ALERETED TO AN UNAUTHORIZED UAS OPERATING WITHIN THE BASE PERIMETER. THE ON-SCENE OFFICER INFORMED TOWER, VIA TELEPHONE, OF THE ACTIVITY, BUT WAS UNABLE TO PROVIDE ANY INFORMATION AS TO SIZE, TYPE, OR ALTITUDE, EXCEPT THAT THE INTRUDER HAD RED, GREEN, AND WHITE LIGHTS AND WAS TRAVELING SOUTHBOUND. THE UAS WAS ORIGINALLY SPOTED NEAR THE PEARL HARBOR GATE WHICH IS LOCATED NEAR THE SOUTHEAST CORNER OF THE AIRFIELD. VISUAL CONFIRMATION WITH THE UAS LIGHTS WAS REPORTED LOST AT APPROX 0715Z. AN ADDITIONAL SIGHTING WAS MADE AT APPROXIMATLY 0737Z OVER THE AIR FORCE ONE HANGER 19.  THIS SIGHTING WAS CONFRIMED BY ADW SECURITY FORCES. THE VERBAL REPORTS RELAYED TO TOWER MENTIONED RED, GREEN, AND WHITE LIGHT. NO PERCISE DISCRIPTION WAS EVER OBSERVED, EXCEPT THE COLOR OF ITS LIGHTS. THE UAS DISSAPPEARED FROM LAW ENFORCEMENTS VIEW AND NO DIRECT ACTION WAS TAKEN AGAINST THE INTRUDER. ADW ATC CONTROLLERS WERE NEVER ABLE TO VIUSALLY CONFIRM WITH LEO'S REPORTS OF UAS/UAP SIGHTINGS. ",NA,"NA","NA"
